fn_name;iterators;loops;nested_loops
boxed::iter::<impl core::iter::Iterator for boxed::Box<I, A>>::nth;1;0;0
<boxed::Box<I, A> as boxed::iter::BoxIter>::last;1;0;0
<boxed::Box<I, A> as boxed::iter::BoxIter>::last;1;0;0
boxed::iter::<impl core::iter::FromIterator<I> for boxed::Box<[I]>>::from_iter;1;0;0
<bstr::ByteString as core::iter::FromIterator<char>>::from_iter;1;0;0
<bstr::ByteString as core::iter::FromIterator<u8>>::from_iter;1;0;0
<bstr::ByteString as core::iter::FromIterator<&'a str>>::from_iter;1;0;0
<bstr::ByteString as core::iter::FromIterator<&'a [u8]>>::from_iter;0;1;0
<bstr::ByteString as core::iter::FromIterator<&'a core::bstr::ByteStr>>::from_iter;0;1;0
<bstr::ByteString as core::iter::FromIterator<bstr::ByteString>>::from_iter;0;1;0
collections::binary_heap::BinaryHeap::<T, A>::into_sorted_vec;0;1;0
collections::binary_heap::BinaryHeap::<T, A>::sift_up;0;1;0
collections::binary_heap::BinaryHeap::<T, A>::sift_down_range;0;1;0
collections::binary_heap::BinaryHeap::<T, A>::sift_down_to_bottom;0;1;0
collections::binary_heap::BinaryHeap::<T, A>::rebuild_tail;0;1;0
collections::binary_heap::BinaryHeap::<T, A>::rebuild;0;1;0
<collections::binary_heap::Iter<'a, T> as core::iter::Iterator>::last;1;0;0
<collections::binary_heap::DrainSorted<'a, T, A> as core::ops::Drop>::drop;0;1;0
<<collections::binary_heap::DrainSorted<'a, T, A> as core::ops::Drop>::drop::DropGuard<'r, 'a, T, A> as core::ops::Drop>::drop;0;1;0
<collections::binary_heap::BinaryHeap<T> as core::iter::FromIterator<T>>::from_iter;1;0;0
collections::btree::append::<impl collections::btree::node::NodeRef<collections::btree::node::marker::Owned, K, V, collections::btree::node::marker::LeafOrInternal>>::bulk_push;0;5;0
<collections::btree::dedup_sorted_iter::DedupSortedIter<K, V, I> as core::iter::Iterator>::next;0;1;0
collections::btree::fix::<impl collections::btree::node::NodeRef<collections::btree::node::marker::Mut<'a>, K, V, collections::btree::node::marker::LeafOrInternal>>::fix_node_and_affected_ancestors;0;1;0
collections::btree::fix::<impl collections::btree::node::NodeRef<collections::btree::node::marker::Owned, K, V, collections::btree::node::marker::LeafOrInternal>>::fix_top;0;1;0
collections::btree::fix::<impl collections::btree::node::NodeRef<collections::btree::node::marker::Owned, K, V, collections::btree::node::marker::LeafOrInternal>>::fix_right_border_of_plentiful;0;2;0
collections::btree::fix::<impl collections::btree::node::Handle<collections::btree::node::NodeRef<collections::btree::node::marker::Mut<'a>, K, V, collections::btree::node::marker::LeafOrInternal>, collections::btree::node::marker::KV>>::fix_left_border_of_left_edge;0;1;0
collections::btree::fix::<impl collections::btree::node::Handle<collections::btree::node::NodeRef<collections::btree::node::marker::Mut<'a>, K, V, collections::btree::node::marker::LeafOrInternal>, collections::btree::node::marker::KV>>::fix_right_border_of_right_edge;0;1;0
<collections::btree::map::BTreeMap<K, V, A> as core::clone::Clone>::clone::clone_subtree;0;2;0
collections::btree::map::BTreeMap::<K, V, A>::retain;1;0;0
<collections::btree::map::IntoIter<K, V, A> as core::ops::Drop>::drop;0;1;0
<<collections::btree::map::IntoIter<K, V, A> as core::ops::Drop>::drop::DropGuard<'a, K, V, A> as core::ops::Drop>::drop;0;1;0
collections::btree::map::ExtractIfInner::<'a, K, V>::next;0;1;0
<collections::btree::map::BTreeMap<K, V> as core::iter::FromIterator<(K, V)>>::from_iter;1;0;0
