name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
rc::Rc::<T, A>::drop_slow;true;true;true;false
<sync::Weak<T, A> as core::fmt::Debug>::fmt;false;false;true;false
bstr::<impl core::cmp::PartialEq<borrow::Cow<'a, str>> for &'a core::bstr::ByteStr>::eq;false;false;true;false
slice::<impl [T]>::join;false;false;false;false
boxed::Box::<T, A>::as_mut_ptr;false;true;true;false
rc::Rc::<T>::pin;false;true;false;false
string::String::as_mut_vec;true;false;true;false
<string::String as core::iter::FromIterator<boxed::Box<str, A>>>::from_iter;false;false;false;false
<vec::in_place_drop::InPlaceDrop<T> as core::ops::Drop>::drop;false;true;true;false
<collections::btree::set::CursorMutKey<'_, K, A> as core::fmt::Debug>::fmt;false;false;true;false
<collections::binary_heap::BinaryHeap<T, A> as core::iter::Extend<T>>::extend_one;false;false;true;false
<collections::btree::set::SymmetricDifference<'_, T> as core::fmt::Debug>::fmt;false;false;true;false
<rc::Rc<T, A> as core::cmp::PartialOrd>::ge;false;false;true;false
collections::btree::set::BTreeSet::<T>::new;false;false;false;false
rc::Rc::<T, A>::unwrap_or_clone;false;false;true;false
<&&&&&&&&str as string::SpecToString>::spec_to_string;false;false;false;false
vec::Vec::<T, A>::drain;false;true;true;false
<borrow::Cow<'_, B> as core::fmt::Debug>::fmt;false;false;true;false
<collections::btree::map::ValuesMut<'a, K, V> as core::iter::DoubleEndedIterator>::next_back;false;false;true;false
<core::option::Option<core::option::Option<core::option::Option<bool>>> as vec::is_zero::IsZero>::is_zero;false;false;true;false
str::convert_while_ascii;false;true;true;true
<ffi::c_str::CString as core::fmt::Debug>::fmt;false;false;true;false
collections::vec_deque::VecDeque::<T, A>::new_in;false;false;false;false
collections::btree::node::Handle::<collections::btree::node::NodeRef<BorrowType, K, V, NodeType>, collections::btree::node::marker::Edge>::left_kv;false;true;true;false
<collections::vec_deque::VecDeque<T, A> as core::iter::Extend<&'a T>>::extend_one;false;false;true;false
sync::Arc::<T, A>::from_ptr_in;true;true;true;false
raw_vec::RawVecInner::<A>::from_raw_parts_in;true;true;true;false
<collections::binary_heap::Iter<'_, T> as core::fmt::Debug>::fmt;false;false;true;false
<collections::vec_deque::into_iter::IntoIter<T, A> as core::iter::DoubleEndedIterator>::next_back;false;false;true;false
boxed::thin::WithOpaqueHeader;false;false;true;false
<T as ffi::c_str::CString::new::SpecNewImpl>::spec_new_impl;false;true;false;false
<rc::Rc<T, A> as core::cmp::Ord>::cmp;false;false;true;false
<rc::Weak<T, A> as core::fmt::Debug>::fmt;false;false;true;false
collections::binary_heap::BinaryHeap::<T, A>::allocator;false;false;true;false
sync::Arc::<T, A>::new_cyclic_in;false;true;false;false
<rc::Rc<[T]> as rc::RcFromSlice<T>>::from_slice;false;true;false;false
bstr::<impl core::cmp::PartialOrd<bstr::ByteString> for borrow::Cow<'_, str>>::partial_cmp;false;false;true;false
<collections::vec_deque::into_iter::IntoIter<T, A> as core::iter::Iterator>::size_hint;false;false;true;false
vec::Vec::<T, A>::leak;false;true;true;false
string::String::from_utf8_lossy;false;false;false;true
<collections::btree::map::IntoValues<K, V, A> as core::iter::Iterator>::size_hint;false;false;true;false
<vec::Vec<T, A1> as core::cmp::PartialOrd<vec::Vec<T, A2>>>::partial_cmp;false;false;true;false
collections::vec_deque::VecDeque::<T, A>::try_reserve;false;true;true;false
<vec::splice::Splice<'_, I, A> as core::ops::Drop>::drop;false;true;true;true
collections::btree::set::CursorMut::<'a, T, A>::insert_after_unchecked;true;true;true;false
vec::Vec::<T, A>::with_capacity_in;false;false;false;false
<string::String as core::convert::From<boxed::Box<str>>>::from;false;false;false;false
bstr::<impl core::cmp::PartialEq<borrow::Cow<'a, core::bstr::ByteStr>> for &'a core::bstr::ByteStr>::eq;false;false;true;false
collections::linked_list::LinkedList::<T, A>::cursor_front_mut;false;false;true;false
collections::binary_heap::BinaryHeap::<T, A>::as_slice;false;false;true;false
<collections::btree::map::RangeMut<'a, K, V> as core::iter::Iterator>::max;false;false;true;false
<boxed::Box<I, A> as boxed::iter::BoxIter>::last::some;false;false;true;false
collections::btree::split::<impl collections::btree::node::NodeRef<collections::btree::node::marker::Owned, K, V, collections::btree::node::marker::LeafOrInternal>>::calc_split_length;false;false;true;false
boxed::convert::<impl core::convert::From<&str> for boxed::Box<(dyn core::error::Error + 'a)>>::from;false;false;false;false
collections::btree::node::move_to_slice;false;true;true;false
<borrow::Cow<'_, B> as core::fmt::Display>::fmt;false;false;true;false
collections::btree::set::CursorMutKey::<'a, T, A>::peek_prev;false;false;true;false
string::String::from_utf16be;false;true;false;true
<collections::vec_deque::VecDeque<T, A> as core::clone::Clone>::clone_from;false;false;true;false
collections::vec_deque::VecDeque::<T, A>::get;false;true;true;false
<string::String as core::iter::Extend<core::ascii::Char>>::extend;false;false;true;false
sync::Arc::<T>::try_new;false;true;false;false
