fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
raw_vec::RawVec::<T, A>::into_box;0;0;0;0;0;0;3;0;1;5;0;0;0
raw_vec::RawVec::<T, A>::from_raw_parts_in;0;0;0;0;0;0;2;0;1;0;0;0;0
raw_vec::RawVec::<T, A>::from_nonnull_in;0;0;0;0;0;0;2;0;1;1;0;0;0
raw_vec::RawVec::<T, A>::ptr;0;0;0;0;0;0;3;0;1;5;0;0;0
raw_vec::RawVec::<T, A>::non_null;0;0;0;0;0;0;3;0;1;5;0;0;0
raw_vec::RawVec::<T, A>::capacity;0;0;0;0;0;0;3;0;1;5;0;0;0
raw_vec::RawVec::<T, A>::allocator;0;0;0;0;0;0;3;0;1;5;0;0;0
raw_vec::RawVec::<T, A>::reserve;0;0;0;0;0;0;3;0;1;5;1;0;0
raw_vec::RawVec::<T, A>::grow_one;0;0;0;0;0;0;3;0;1;5;1;0;0
raw_vec::RawVec::<T, A>::try_reserve;0;0;0;0;0;0;3;0;1;5;1;0;0
raw_vec::RawVec::<T, A>::reserve_exact;0;0;0;0;0;0;3;0;1;5;1;0;0
raw_vec::RawVec::<T, A>::try_reserve_exact;0;0;0;0;0;0;3;0;1;5;1;0;0
raw_vec::RawVec::<T, A>::shrink_to_fit;0;0;0;0;0;0;3;0;1;5;1;0;0
<raw_vec::RawVec<T, A> as core::ops::Drop>::drop;0;0;0;0;0;0;3;0;1;5;1;0;0
raw_vec::RawVecInner::<A>::from_raw_parts_in;0;0;0;0;0;0;1;0;1;0;0;0;0
raw_vec::RawVecInner::<A>::from_nonnull_in;0;0;0;0;0;0;2;0;1;0;0;0;0
raw_vec::RawVecInner::<A>::ptr;0;0;0;0;0;0;2;0;1;3;0;0;0
raw_vec::RawVecInner::<A>::non_null;0;0;0;0;0;0;2;0;1;3;0;0;0
raw_vec::RawVecInner::<A>::capacity;0;0;0;0;0;0;2;0;1;3;0;0;0
raw_vec::RawVecInner::<A>::allocator;0;0;0;0;0;0;2;0;1;3;0;0;0
raw_vec::RawVecInner::<A>::current_memory;0;0;0;0;0;0;2;0;1;3;0;0;0
raw_vec::RawVecInner::<A>::reserve;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::reserve::do_reserve_and_handle;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::grow_one;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::try_reserve;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::reserve_exact;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::try_reserve_exact;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::shrink_to_fit;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::needs_to_grow;0;0;0;0;0;0;2;0;1;3;0;0;0
raw_vec::RawVecInner::<A>::set_ptr_and_cap;0;0;0;0;0;0;3;0;2;3;1;0;0
raw_vec::RawVecInner::<A>::grow_amortized;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::grow_exact;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::shrink;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::shrink_unchecked;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::RawVecInner::<A>::deallocate;0;0;0;0;0;0;2;0;1;3;1;0;0
raw_vec::finish_grow;0;0;0;0;0;0;2;0;1;1;1;0;0
<alloc::Global as core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
alloc::dealloc;0;0;0;0;0;0;0;0;1;0;0;0;0
alloc::realloc;0;0;0;0;0;0;0;0;1;0;0;0;0
alloc::Global::grow_impl;0;0;0;0;0;0;1;0;1;0;0;0;0
<alloc::Global as core::alloc::Allocator>::deallocate;0;0;0;0;0;0;1;0;1;0;0;0;0
<alloc::Global as core::alloc::Allocator>::grow;0;0;0;0;0;0;1;0;1;0;0;0;0
<alloc::Global as core::alloc::Allocator>::grow_zeroed;0;0;0;0;0;0;1;0;1;0;0;0;0
<alloc::Global as core::alloc::Allocator>::shrink;0;0;0;0;0;0;1;0;1;0;0;0;0
<borrow::Cow<'a, B> as core::borrow::Borrow<B>>::borrow;0;0;0;0;0;0;1;0;0;2;0;0;0
borrow::ToOwned::clone_into;0;0;0;0;0;0;2;0;0;0;1;0;0
<T as borrow::ToOwned>::clone_into;0;0;0;0;0;0;2;0;0;0;1;0;0
<borrow::Cow<'_, B> as core::clone::Clone>::clone;0;0;0;0;0;0;1;0;0;2;0;0;0
<borrow::Cow<'_, B> as core::clone::Clone>::clone_from;0;0;0;0;0;0;2;0;0;4;1;0;0
borrow::Cow::<'_, B>::is_borrowed;0;0;0;0;0;0;1;0;0;2;0;0;0
borrow::Cow::<'_, B>::is_owned;0;0;0;0;0;0;1;0;0;2;0;0;0
borrow::Cow::<'_, B>::to_mut;0;0;0;0;0;0;1;0;0;2;1;0;0
borrow::Cow::<'_, B>::into_owned;0;0;0;0;0;0;1;0;0;2;0;0;0
<borrow::Cow<'_, B> as core::ops::Deref>::deref;0;0;0;0;0;0;1;0;0;2;0;0;0
<borrow::Cow<'_, B> as core::cmp::Ord>::cmp;0;0;0;0;0;0;2;0;0;4;0;0;0
<borrow::Cow<'a, B> as core::cmp::PartialEq<borrow::Cow<'b, C>>>::eq;0;0;0;0;0;0;4;0;0;2;0;0;0
<borrow::Cow<'a, B> as core::cmp::PartialOrd>::partial_cmp;0;0;0;0;0;0;2;0;0;4;0;0;0
<borrow::Cow<'_, B> as core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;4;2;0;0
<borrow::Cow<'_, B> as core::fmt::Display>::fmt;0;0;0;0;0;0;2;0;0;4;2;0;0
<borrow::Cow<'_, B> as core::hash::Hash>::hash;0;0;0;0;0;0;2;0;0;2;1;0;0
<borrow::Cow<'_, T> as core::convert::AsRef<T>>::as_ref;0;0;0;0;0;0;2;0;0;1;0;0;0
<borrow::Cow<'a, str> as core::ops::Add<&'a str>>::add;0;0;0;0;0;0;1;0;0;1;0;0;0
<borrow::Cow<'a, str> as core::ops::Add>::add;0;0;0;0;0;0;2;0;0;2;0;0;0
<borrow::Cow<'a, str> as core::ops::AddAssign<&'a str>>::add_assign;0;0;0;0;0;0;1;0;0;1;1;0;0
<borrow::Cow<'a, str> as core::ops::AddAssign>::add_assign;0;0;0;0;0;0;2;0;0;2;1;0;0
boxed::convert::<impl core::convert::From<&mut [T]> for boxed::Box<[T]>>::from;0;0;0;0;0;0;1;0;0;0;1;0;0
boxed::convert::<impl core::convert::From<borrow::Cow<'_, [T]>> for boxed::Box<[T]>>::from;0;0;0;0;0;0;2;0;0;1;0;0;0
boxed::convert::<impl core::convert::From<&mut str> for boxed::Box<str>>::from;0;0;0;0;0;0;0;0;0;0;1;0;0
boxed::convert::<impl core::convert::From<borrow::Cow<'_, str>> for boxed::Box<str>>::from;0;0;0;0;0;0;1;0;0;1;0;0;0
"boxed::convert::<impl core::convert::TryFrom<vec::Vec<T>> for boxed::Box<[T; N]>>::try_from";0;0;0;0;0;0;3;0;1;7;0;0;0
boxed::convert::<impl core::convert::From<string::String> for boxed::Box<(dyn core::error::Error + core::marker::Send + core::marker::Sync + 'a)>>::from;0;0;0;0;0;0;3;0;1;7;0;0;0
<boxed::convert::<impl core::convert::From<string::String> for boxed::Box<(dyn core::error::Error + core::marker::Send + core::marker::Sync + 'a)>>::from::StringError as core::error::Error>::description;0;0;0;0;0;0;3;0;1;7;0;0;0
<boxed::convert::<impl core::convert::From<string::String> for boxed::Box<(dyn core::error::Error + core::marker::Send + core::marker::Sync + 'a)>>::from::StringError as core::fmt::Display>::fmt;0;0;0;0;0;0;4;0;1;9;2;0;0
<boxed::convert::<impl core::convert::From<string::String> for boxed::Box<(dyn core::error::Error + core::marker::Send + core::marker::Sync + 'a)>>::from::StringError as core::fmt::Debug>::fmt;0;0;0;0;0;0;4;0;1;9;2;0;0
boxed::convert::<impl core::convert::From<string::String> for boxed::Box<(dyn core::error::Error + 'a)>>::from;0;0;0;0;0;0;3;0;1;7;0;0;0
boxed::convert::<impl core::convert::From<borrow::Cow<'b, str>> for boxed::Box<(dyn core::error::Error + core::marker::Send + core::marker::Sync + 'a)>>::from;0;0;0;0;0;0;1;0;0;1;0;0;0
boxed::convert::<impl core::convert::From<borrow::Cow<'b, str>> for boxed::Box<(dyn core::error::Error + 'a)>>::from;0;0;0;0;0;0;1;0;0;1;0;0;0
boxed::iter::<impl core::iter::Iterator for boxed::Box<I, A>>::next;1;0;0;0;0;0;2;0;0;0;1;0;0
boxed::iter::<impl core::iter::Iterator for boxed::Box<I, A>>::nth;1;0;0;0;0;0;2;0;0;0;1;0;0
<boxed::Box<I, A> as boxed::iter::BoxIter>::last::some;0;0;0;0;0;0;2;0;0;1;0;0;0
boxed::iter::<impl core::iter::DoubleEndedIterator for boxed::Box<I, A>>::next_back;1;0;0;0;0;0;2;0;0;0;1;0;0
boxed::iter::<impl core::iter::DoubleEndedIterator for boxed::Box<I, A>>::nth_back;1;0;0;0;0;0;2;0;0;0;1;0;0
boxed::iter::<impl core::async_iter::AsyncIterator for boxed::Box<S>>::poll_next;1;0;0;0;0;3;3;0;2;11;3;0;0
