fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
raw_vec::new_cap;0;0;1;0;0
raw_vec::RawVec::<T, A>::into_box;0;0;2;0;0
raw_vec::RawVec::<T, A>::from_raw_parts_in;0;0;2;0;0
raw_vec::RawVec::<T, A>::from_nonnull_in;0;0;2;0;0
<raw_vec::RawVec<T, A> as core::ops::Drop>::drop;0;0;1;0;0
raw_vec::RawVecInner::<A>::with_capacity_in;0;0;1;0;0
raw_vec::RawVecInner::<A>::try_allocate_in;0;0;1;0;0
raw_vec::RawVecInner::<A>::from_raw_parts_in;0;0;1;0;0
raw_vec::RawVecInner::<A>::current_memory;0;0;2;0;0
raw_vec::RawVecInner::<A>::try_reserve;0;0;1;0;0
raw_vec::RawVecInner::<A>::try_reserve_exact;0;0;1;0;0
raw_vec::RawVecInner::<A>::set_ptr_and_cap;0;0;1;0;0
raw_vec::RawVecInner::<A>::grow_amortized;0;0;1;0;0
raw_vec::RawVecInner::<A>::grow_exact;0;0;1;0;0
raw_vec::RawVecInner::<A>::shrink;0;0;1;0;0
raw_vec::RawVecInner::<A>::shrink_unchecked;0;0;6;0;0
raw_vec::RawVecInner::<A>::deallocate;0;0;1;0;0
raw_vec::finish_grow;0;0;2;0;0
alloc::alloc;0;1;2;1;0
alloc::dealloc;0;0;1;0;0
alloc::realloc;0;0;1;0;0
alloc::alloc_zeroed;0;1;2;1;0
alloc::Global::alloc_impl;0;0;2;0;0
alloc::Global::grow_impl;0;0;6;0;0
<alloc::Global as core::alloc::Allocator>::deallocate;0;0;1;0;0
<alloc::Global as core::alloc::Allocator>::grow;0;0;1;0;0
<alloc::Global as core::alloc::Allocator>::grow_zeroed;0;0;1;0;0
<alloc::Global as core::alloc::Allocator>::shrink;0;0;5;0;0
alloc::exchange_malloc;0;0;1;0;0
alloc::handle_alloc_error::rt_error;0;0;1;0;0
alloc::__alloc_error_handler::__rdl_oom;0;1;0;1;0
<boxed::Box<[T]> as boxed::convert::BoxFromSlice<T>>::from_slice;0;0;3;0;0
boxed::convert::<impl core::convert::From<&str> for boxed::Box<str>>::from;0;0;1;0;0
boxed::convert::<impl core::convert::From<boxed::Box<str, A>> for boxed::Box<[u8], A>>::from;0;0;1;0;0
boxed::convert::boxed_slice_as_array_unchecked;0;1;1;0;0
"boxed::convert::<impl core::convert::TryFrom<boxed::Box<[T]>> for boxed::Box<[T; N]>>::try_from";0;1;1;0;0
"boxed::convert::<impl core::convert::TryFrom<vec::Vec<T>> for boxed::Box<[T; N]>>::try_from";0;0;1;0;0
boxed::convert::<impl boxed::Box<(dyn core::any::Any + 'static), A>>::downcast;0;1;1;0;0
boxed::convert::<impl boxed::Box<(dyn core::any::Any + 'static), A>>::downcast_unchecked;0;1;1;0;0
