fn_name;iterators;loops;nested_loops
float::div::div;0;2;0
float::pow::pow;0;2;0
int::specialized_div_rem::delegate::u128_divide_sparc;0;6;0
int::specialized_div_rem::u64_div_rem;0;1;0
int::specialized_div_rem::u32_div_rem;0;1;0
<int::big::u256 as rustc_std_workspace_core::ops::Shr<u32>>::shr;0;3;0
int::traits::make_fuzz_lengths;0;2;0
math::libm::support::hex_float::parse_hex;0;4;0
math::libm::generic::fmod::fmod;0;2;0
math::libm::generic::sqrt::goldschmidt;0;4;0
math::libm::rem_pio2::rem_pio2;0;2;0
math::libm::rem_pio2_large::rem_pio2_large;0;75;0
math::libm::cbrt::cbrt_round;0;3;0
math::libm::ilogb::ilogb;0;1;0
math::libm::ilogbf::ilogbf;0;1;0
math::libm::jn::jn;0;7;0
math::libm::jn::yn;0;1;0
math::libm::jnf::jnf;0;7;0
math::libm::jnf::ynf;0;1;0
math::libm::remquo::remquo;0;5;0
math::libm::remquof::remquof;0;5;0
math::libm::tgamma::s;0;2;0
mem::impls::compare_bytes::cmp;0;1;0
mem::impls::c_string_length;0;2;0
mem::memcpy_element_unordered_atomic;0;1;0
mem::memmove_element_unordered_atomic;0;2;0
mem::memset_element_unordered_atomic;0;2;0
