name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<usize as math::libm::support::int_traits::Int>::checked_sub;false;false;false;false
int::big::<impl int::traits::HInt for u128>::widen_hi;false;false;false;false
math::libm::erf::erfc;false;false;true;false
<u64 as int::traits::Int>::logical_shr;false;false;false;false
<u16 as math::libm::support::int_traits::Int>::rotate_left;false;false;false;false
<u32 as math::libm::support::int_traits::CastInto<i16>>::cast_lossy;false;false;false;false
int::trailing_zeros::__ctzsi2::__ctzsi2;false;false;false;false
float::sub::__subsf3;false;false;true;false
math::libm::expo2::expo2;false;false;true;false
<i32 as int::traits::Int>::is_zero;false;false;false;false
<u32 as math::libm::support::int_traits::Int>::overflowing_sub;false;false;false;false
math::libm::generic::fminimum::fminimum;false;false;false;false
<u64 as int::traits::CastInto<i64>>::cast;false;false;false;false
math::libm::powf::powf;false;false;true;false
<u8 as math::libm::support::int_traits::Int>::wrapping_shr;false;false;false;false
int::addsub::Addo::addo;false;false;false;false
<f64 as float::traits::Float>::frac;false;false;true;false
float::cmp::__getf2::__getf2;false;false;true;false
<u8 as math::libm::support::int_traits::Int>::overflowing_sub;false;false;false;false
<u32 as math::libm::support::int_traits::HInt>::widen_hi;false;false;false;false
<usize as math::libm::support::int_traits::CastInto<i8>>::cast;false;false;false;false
float::traits::Float::abs;false;false;false;false
<u128 as math::libm::support::int_traits::Int>::unsigned;false;false;false;false
<f32 as float::traits::Float>::imp_frac;false;false;true;false
math::full_availability::fabsf::fabsf;false;false;true;false
float::conv::__fixsfsi;false;false;true;false
<i64 as int::traits::Int>::abs_diff;false;false;false;false
math::libm::generic::sqrt::wmulh;false;false;false;false
int::mul::__multi3::__multi3;false;false;false;false
math::full_availability::fmaximumf;false;false;true;false
float::conv::__fixdfti::__fixdfti;false;false;true;false
math::full_availability::fmaxf128;false;false;true;false
<u64 as int::traits::Int>::from_bool;false;false;false;false
math::full_availability::rintf16::rintf16;false;false;true;false
<i128 as int::traits::Int>::wrapping_sub;false;false;false;false
int::addsub::UAddSub::usub;false;false;false;false
<u16 as math::libm::support::int_traits::CastInto<i64>>::cast_lossy;false;false;false;false
<u8 as math::libm::support::int_traits::Int>::wrapping_neg;false;false;false;false
<i64 as int::traits::Int>::overflowing_add;false;false;false;false
<u64 as int::traits::Int>::rotate_left;false;false;false;false
<isize as math::libm::support::int_traits::CastInto<u64>>::cast_lossy;false;false;false;false
<i32 as int::traits::CastInto<i8>>::cast;false;false;false;false
<u16 as math::libm::support::int_traits::Int>::wrapping_shl;false;false;false;false
int::big::<impl int::traits::HInt for u128>::widen_mul;false;false;false;false
<u16 as int::traits::CastInto<i128>>::cast;false;false;false;false
int::trailing_zeros::__ctzsi2;false;false;false;false
math::full_availability::fmin::fmin;false;false;true;false
int::specialized_div_rem::u64_by_u64_div_rem;false;false;false;false
int::specialized_div_rem::u128_div_rem;false;true;false;false
<math::libm::support::big::i256 as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<i128 as math::libm::support::int_traits::CastInto<f128>>::cast;false;false;false;false
<u16 as math::libm::support::int_traits::Int>::wrapping_sub;false;false;false;false
int::mul::UMulo::mulo;false;false;false;false
<int::big::i256 as rustc_std_workspace_core::ops::Shl<u32>>::shl;false;false;false;false
<usize as int::traits::Int>::wrapping_mul;false;false;false;false
float::cmp::__letf2::__letf2;false;false;true;false
<u8 as int::traits::CastInto<i64>>::cast;false;false;false;false
<usize as math::libm::support::int_traits::Int>::wrapping_shr;false;false;false;false
<i64 as math::libm::support::int_traits::CastInto<u16>>::cast_lossy;false;false;false;false
int::addsub::AddSub::sub;false;false;false;false
math::libm::fminimum_fmaximum_num::fmaximum_numf128;false;false;true;false
<f16 as float::traits::Float>::normalize;false;false;true;false
<i16 as int::traits::Int>::logical_shr;false;false;false;false
math::libm::roundeven::roundevenf16;false;false;true;false
<usize as math::libm::support::int_traits::CastInto<i128>>::cast_lossy;false;false;false;false
math::full_availability::fdimf128;false;false;true;false
int::bswap::__bswapdi2::__bswapdi2;false;false;false;false
math::full_availability::cbrt;false;false;true;false
<isize as math::libm::support::int_traits::Int>::unsigned;false;false;false;false
<isize as int::traits::Int>::abs_diff;false;false;false;false
<i128 as math::libm::support::int_traits::CastInto<u128>>::cast;false;false;false;false
<i16 as math::libm::support::int_traits::CastInto<u16>>::cast;false;false;false;false
<i32 as int::traits::Int>::wrapping_sub;false;false;false;false
math::libm::cbrt::cbrt_round;false;false;true;true
<i16 as int::traits::CastInto<u8>>::cast;false;false;false;false
math::libm::j1f::j1f;false;false;true;false
<i64 as math::libm::support::int_traits::CastInto<i64>>::cast_lossy;false;false;false;false
<u128 as math::libm::support::int_traits::CastInto<i32>>::cast_lossy;false;false;false;false
float::pow::__powisf2::__powisf2;false;false;true;false
<u8 as int::traits::Int>::ilog2;false;false;false;false
<u16 as int::traits::Int>::rotate_left;false;false;false;false
<i64 as int::traits::HInt>::zero_widen;false;false;false;false
<i16 as math::libm::support::int_traits::DInt>::hi;false;false;false;false
math::full_availability::copysign;false;false;true;false
<i32 as math::libm::support::int_traits::CastInto<i128>>::cast_lossy;false;false;false;false
<i8 as math::libm::support::int_traits::CastInto<i64>>::cast_lossy;false;false;false;false
math::libm::cos::cos;false;false;true;false
<i16 as math::libm::support::int_traits::Int>::checked_sub;false;false;false;false
int::addsub::__rust_i128_subo::__rust_i128_subo;false;false;true;false
math::libm::support::float_traits::Float::biteq;false;false;false;false
<i8 as math::libm::support::int_traits::CastInto<i64>>::cast;false;false;false;false
<int::big::i256 as rustc_std_workspace_core::cmp::PartialOrd>::partial_cmp;false;false;false;false
<math::libm::support::env::Round as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
math::full_availability::fmod::fmod;false;false;true;false
math::libm::j0f::y0f;false;false;true;false
<u8 as math::libm::support::int_traits::Int>::signed;false;false;false;false
<i64 as math::libm::support::int_traits::Int>::wrapping_mul;false;false;false;false
<u128 as math::libm::support::int_traits::CastInto<i8>>::cast_lossy;false;false;false;false
math::libm::sin::sin;false;true;true;false
math::libm::ceilf128::ceilf128;false;false;true;false
<i32 as int::traits::CastInto<isize>>::cast;false;false;false;false
<u16 as math::libm::support::int_traits::Int>::from_unsigned;false;false;false;false
<i128 as math::libm::support::int_traits::CastInto<i16>>::cast_lossy;false;false;false;false
math::full_availability::round::round;false;false;true;false
<u64 as math::libm::support::int_traits::CastInto<i64>>::cast_lossy;false;false;false;false
<u16 as math::libm::support::int_traits::CastInto<u128>>::cast_lossy;false;false;false;false
<f64 as math::libm::support::float_traits::HFloat>::widen;false;false;true;false
math::libm::roundf::roundf;false;false;true;false
int::mul::__muloti4::__muloti4;false;false;true;false
float::conv::__fixunstfdi::__fixunstfdi;false;false;true;false
math::libm::roundf128::roundf128;false;false;true;false
