fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
int::specialized_div_rem::u128_by_u64_div_rem;1;0;0;0;0
int::specialized_div_rem::u128_div_rem;0;0;3;0;0
<f16 as math::libm::support::float_traits::Float>::fma;0;0;1;0;0
<f32 as math::libm::support::float_traits::Float>::fma;0;0;1;0;0
<f64 as math::libm::support::float_traits::Float>::fma;0;0;1;0;0
<f128 as math::libm::support::float_traits::Float>::fma;0;0;1;0;0
math::libm::arch::i686::sqrtf;0;0;3;0;0
math::libm::arch::i686::sqrt;0;0;3;0;0
math::libm::asinh::asinh;0;0;1;0;0
math::libm::asinhf::asinhf;0;0;1;0;0
math::libm::atan::atan;0;0;1;0;0
math::libm::atanf::atanf;0;0;1;0;0
math::libm::atanh::atanh;0;0;1;0;0
math::libm::atanhf::atanhf;0;0;1;0;0
math::libm::cosf::cosf;0;0;1;0;0
math::libm::cosh::cosh;0;0;1;0;0
math::libm::coshf::coshf;0;0;1;0;0
math::libm::exp::exp;0;0;2;0;0
math::libm::exp2::exp2;0;0;1;0;0
math::libm::exp2f::exp2f;0;0;1;0;0
math::libm::expf::expf;0;0;2;0;0
math::libm::expm1::expm1;0;0;1;0;0
math::libm::expm1f::expm1f;0;0;1;0;0
math::libm::ilogb::ilogb;0;0;2;0;0
math::libm::ilogbf::ilogbf;0;0;2;0;0
math::libm::log1p::log1p;0;0;1;0;0
math::libm::log1pf::log1pf;0;0;1;0;0
math::libm::nextafter::nextafter;0;0;2;0;0
math::libm::nextafterf::nextafterf;0;0;2;0;0
math::libm::sin::sin;0;0;2;0;0
math::libm::sincos::sincos;0;0;2;0;0
math::libm::sincosf::sincosf;0;0;2;0;0
math::libm::sinf::sinf;0;0;1;0;0
math::libm::tan::tan;0;0;1;0;0
math::libm::tanf::tanf;0;0;1;0;0
math::libm::tanh::tanh;0;0;1;0;0
math::libm::tanhf::tanhf;0;0;1;0;0
math::libm::tgamma::tgamma;0;0;1;0;0
mem::impls::copy_forward;3;0;0;0;0
mem::impls::copy_backward;1;0;2;0;0
mem::impls::set_bytes;3;0;0;0;0
mem::impls::compare_bytes::cmp;0;0;5;0;0
mem::impls::c_string_length;2;1;8;0;0
mem::memcpy;0;0;1;0;0
mem::memmove;0;0;2;0;0
mem::memset;0;0;1;0;0
mem::memcmp;0;0;1;0;0
mem::bcmp;0;0;1;0;0
mem::strlen;0;0;1;0;0
mem::memcpy_element_unordered_atomic;0;0;5;0;0
mem::memmove_element_unordered_atomic;0;0;9;0;0
mem::memset_element_unordered_atomic;0;0;3;0;0
mem::__llvm_memcpy_element_unordered_atomic_1::__llvm_memcpy_element_unordered_atomic_1;0;0;1;0;0
mem::__llvm_memcpy_element_unordered_atomic_2::__llvm_memcpy_element_unordered_atomic_2;0;0;1;0;0
mem::__llvm_memcpy_element_unordered_atomic_4::__llvm_memcpy_element_unordered_atomic_4;0;0;1;0;0
mem::__llvm_memcpy_element_unordered_atomic_8::__llvm_memcpy_element_unordered_atomic_8;0;0;1;0;0
mem::__llvm_memmove_element_unordered_atomic_1::__llvm_memmove_element_unordered_atomic_1;0;0;1;0;0
mem::__llvm_memmove_element_unordered_atomic_2::__llvm_memmove_element_unordered_atomic_2;0;0;1;0;0
mem::__llvm_memmove_element_unordered_atomic_4::__llvm_memmove_element_unordered_atomic_4;0;0;1;0;0
mem::__llvm_memmove_element_unordered_atomic_8::__llvm_memmove_element_unordered_atomic_8;0;0;1;0;0
mem::__llvm_memset_element_unordered_atomic_1::__llvm_memset_element_unordered_atomic_1;0;0;1;0;0
mem::__llvm_memset_element_unordered_atomic_2::__llvm_memset_element_unordered_atomic_2;0;0;1;0;0
mem::__llvm_memset_element_unordered_atomic_4::__llvm_memset_element_unordered_atomic_4;0;0;1;0;0
mem::__llvm_memset_element_unordered_atomic_8::__llvm_memset_element_unordered_atomic_8;0;0;1;0;0
