fn_name;iterators;loops;nested_loops
num::bignum::Big32x40::from_u64;0;1;0
num::bignum::Big32x40::is_zero;1;0;0
num::bignum::Big32x40::bit_length;1;0;0
num::bignum::Big32x40::add;0;1;0
num::bignum::Big32x40::add_small;0;1;0
num::bignum::Big32x40::sub;0;1;0
num::bignum::Big32x40::mul_small;0;1;0
num::bignum::Big32x40::mul_pow2;1;3;0
num::bignum::Big32x40::mul_pow5;0;2;0
num::bignum::Big32x40::mul_digits::mul_inner;0;6;0
num::bignum::Big32x40::div_rem_small;0;1;0
num::bignum::Big32x40::div_rem;2;5;0
<num::bignum::Big32x40 as fmt::Debug>::fmt;0;1;0
num::bignum::tests::Big8x3::from_u64;0;1;0
num::bignum::tests::Big8x3::is_zero;1;0;0
num::bignum::tests::Big8x3::bit_length;1;0;0
num::bignum::tests::Big8x3::add;0;1;0
num::bignum::tests::Big8x3::add_small;0;1;0
num::bignum::tests::Big8x3::sub;0;1;0
num::bignum::tests::Big8x3::mul_small;0;1;0
num::bignum::tests::Big8x3::mul_pow2;1;3;0
num::bignum::tests::Big8x3::mul_pow5;0;2;0
num::bignum::tests::Big8x3::mul_digits::mul_inner;0;6;0
num::bignum::tests::Big8x3::div_rem_small;0;1;0
num::bignum::tests::Big8x3::div_rem;2;5;0
<num::bignum::tests::Big8x3 as fmt::Debug>::fmt;0;1;0
<[u8] as num::dec2flt::common::ByteSlice>::parse_digits;0;1;0
num::dec2flt::decimal_seq::DecimalSeq::trim;0;1;0
num::dec2flt::decimal_seq::DecimalSeq::round;0;2;0
num::dec2flt::decimal_seq::DecimalSeq::left_shift;0;6;0
num::dec2flt::decimal_seq::DecimalSeq::right_shift;0;6;0
num::dec2flt::decimal_seq::parse_decimal_seq;0;6;0
num::dec2flt::decimal_seq::number_of_digits_decimal_left_shift;0;1;0
num::dec2flt::slow::parse_long_mantissa;0;7;0
num::dec2flt::parse::try_parse_digits;0;1;0
num::dec2flt::parse::try_parse_19digits;0;1;0
num::dec2flt::parse::parse_partial_number;0;2;0
num::flt2dec::strategy::dragon::div_2pow10;0;1;0
num::flt2dec::strategy::dragon::format_shortest;0;1;0
num::flt2dec::strategy::dragon::format_exact;0;17;0
num::flt2dec::strategy::grisu::format_shortest_opt;0;2;0
num::flt2dec::strategy::grisu::format_shortest_opt::round_and_weed;0;2;0
num::flt2dec::strategy::grisu::format_exact_opt;0;2;0
num::flt2dec::round_up;1;2;0
num::fmt::Part::<'a>::write;0;2;0
num::fmt::Formatted::<'a>::len;0;1;0
num::fmt::Formatted::<'a>::write;0;1;0
num::<impl i8>::checked_pow;0;2;0
num::<impl i8>::strict_pow;0;2;0
num::<impl i8>::wrapping_pow;0;4;0
num::<impl i8>::overflowing_pow;0;2;0
num::<impl i8>::pow;0;4;0
num::<impl i16>::checked_pow;0;2;0
num::<impl i16>::strict_pow;0;2;0
num::<impl i16>::wrapping_pow;0;4;0
num::<impl i16>::overflowing_pow;0;2;0
