name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
num::<impl u8>::overflowing_shr;false;false;false;false
<iter::adapters::zip::Zip<A, B> as iter::adapters::zip::ZipFmt<A, B>>::fmt;false;false;true;false
num::nonzero::NonZero::<i128>::isolate_least_significant_one;false;true;false;false
<(K, J, I, H, G, F, E, D, C, B, A) as iter::traits::collect::FromIterator<(EK, EJ, EI, EH, EG, EF, EE, ED, EC, EB, EA)>>::from_iter;false;false;false;false
sync::atomic::AtomicI16::store;false;true;true;false
num::<impl i8>::saturating_add;false;false;false;false
num::<impl u8>::is_ascii_uppercase;false;false;false;false
num::<impl isize>::strict_add;false;false;false;false
core_arch::x86::avx512f::_mm256_load_epi64;true;true;true;false
core_arch::x86::avx512bw::_ktestc_mask32_u8;true;true;false;false
core_arch::x86::avx512f::_mm_cvttsd_u32;true;true;true;false
core_arch::x86::avx512fp16::_mm512_castps_ph;true;false;true;false
num::<impl u16>::strict_rem;false;false;false;false
core_arch::x86::avx512bf16::_mm512_cvtne2ps_pbh;true;true;true;false
core_arch::x86::avx512bw::_mm256_mask_srli_epi16;true;true;false;false
core_arch::x86::avx512f::_mm256_mask_rol_epi32;true;true;false;false
<num::saturating::Saturating<usize> as ops::arith::RemAssign>::rem_assign;false;false;true;false
<isize as ops::bit::ShrAssign<i128>>::shr_assign;false;false;true;false
<core_simd::vector::Simd<u32, 16> as core_simd::to_bytes::ToBytes>::from_le_bytes;false;false;false;false
<u32 as ops::bit::ShlAssign<i128>>::shl_assign;false;false;true;false
panicking::panic_nounwind;false;false;false;false
<slice::iter::RSplit<'a, T, P> as iter::traits::double_ended::DoubleEndedIterator>::next_back;false;false;true;false
core_simd::ops::deref::<impl ops::arith::Mul<&'rhs core_simd::vector::Simd<T, N>> for &'lhs core_simd::vector::Simd<T, N>>::mul;false;false;false;false
num::<impl i16>::unchecked_neg;true;false;false;false
core_arch::x86::avx512f::_mm512_mask_sub_epi32;true;true;false;false
core_arch::x86::avx512f::_mm256_mask_loadu_ps;true;true;true;false
core_arch::x86::gfni::_mm_mask_gf2p8mul_epi8;true;true;false;false
<core_simd::vector::Simd<f64, 1> as core_simd::to_bytes::ToBytes>::from_le_bytes;false;false;true;false
net::ip_addr::Ipv6Addr::is_benchmarking;false;false;false;false
<isize as ops::bit::ShlAssign<i128>>::shl_assign;false;false;true;false
num::nonzero::NonZero::<u16>::swap_bytes;false;true;false;false
core_arch::x86::avx512bw::_mm_mask_reduce_min_epu8;true;true;false;false
<num::flt2dec::decoder::FullDecoded as cmp::PartialEq>::eq;false;false;true;false
<char::ToUppercase as iter::traits::iterator::Iterator>::size_hint;false;false;true;false
num::<impl i64>::wrapping_pow;false;false;false;true
error::Tagged::<(dyn error::Erased<'a> + 'a)>::downcast_mut;false;true;true;false
core_arch::x86::sse2::_mm_min_sd;true;true;true;false
core_arch::x86::avx512f::_mm512_test_epi32_mask;true;true;false;false
num::niche_types::NonZeroI128Inner::new_unchecked;true;false;false;false
<&num::wrapping::Wrapping<isize> as ops::bit::Shl<&usize>>::shl;false;false;false;false
iter::adapters::intersperse::intersperse_size_hint;false;false;false;false
num::wrapping::Wrapping::<i32>::swap_bytes;false;false;false;false
core_arch::x86::sse41::_mm_floor_sd;true;true;true;false
num::<impl u32>::count_ones;false;false;false;false
num::<impl usize>::div_floor;false;false;false;false
str::traits::<impl slice::index::SliceIndex<str> for range::RangeFrom<usize>>::get;false;true;false;false
<&'a u32 as ops::bit::Shl<i128>>::shl;false;false;false;false
core_arch::x86::avx512bw::_mm256_maskz_subs_epu8;true;true;false;false
core_arch::simd::u8x16::splat;false;true;false;false
<i128 as ops::bit::Shl<&usize>>::shl;false;false;false;false
<&num::wrapping::Wrapping<u32> as ops::arith::Mul<&num::wrapping::Wrapping<u32>>>::mul;false;false;false;false
core_arch::x86::sse::_mm_cmpneq_ps;true;true;true;false
core_arch::x86::avx512bw::_mm_maskz_min_epu8;true;true;false;false
tuple::<impl cmp::PartialOrd for (Z, Y, X, W, V, U, T)>::lt;false;false;false;false
char::EscapeDebug::backslash;false;false;false;false
slice::iter::SplitN::<'a, T, P>::new;false;false;true;false
core_arch::x86::sse2::_mm_castsi128_pd;true;false;false;false
num::nonzero::NonZero::<T>::new_unchecked::precondition_check;false;false;false;false
<num::saturating::Saturating<usize> as ops::bit::BitOr>::bitor;false;false;false;false
<task::poll::Poll<result::Result<T, E>> as ops::try_trait::Try>::branch;false;false;true;false
ops::drop::fallback_surface_drop;false;false;true;false
<&num::saturating::Saturating<i8> as ops::arith::Add<&num::saturating::Saturating<i8>>>::add;false;false;false;false
task::wake::Waker::wake_by_ref;false;true;true;false
core_arch::x86::avx512f::_mm256_maskz_permutevar_pd;true;true;true;false
num::<impl i32>::overflowing_rem;false;false;false;false
<num::saturating::Saturating<i64> as ops::arith::Sub>::sub;false;false;false;false
cmp::PartialEq::ne;false;false;false;false
<i32 as ops::arith::Div>::div;false;false;false;false
num::<impl usize>::is_power_of_two;false;false;false;false
num::<impl u32>::unbounded_shr;false;true;false;false
<i128 as ops::bit::ShrAssign<u32>>::shr_assign;false;false;true;false
num::<impl i8>::isolate_least_significant_one;false;false;false;false
<iter::adapters::take::Take<I> as iter::traits::iterator::Iterator>::advance_by;false;false;true;true
num::saturating::Saturating::<usize>::is_power_of_two;false;false;false;false
<cmp::Ordering as cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
sync::atomic::AtomicI64::compare_and_swap;false;false;true;false
core_arch::x86::sse::_mm_cmpnge_ps;true;true;true;false
core_arch::x86::avx512f::_mm_mask3_fmsub_sd;true;true;true;false
<i16 as ops::bit::Shr<isize>>::shr;false;false;false;false
core_arch::x86::avx2::_mm256_broadcastd_epi32;true;true;false;false
core_arch::x86::avx512bw::_mm_mask_sll_epi16;true;true;false;false
core_arch::x86::avx512f::_mm256_mask_rcp14_ps;true;true;true;false
<core_simd::vector::Simd<i8, N> as core_simd::simd::cmp::ord::SimdOrd>::simd_clamp;false;false;false;false
<f32 as iter::traits::accum::Sum<&'a f32>>::sum;false;false;false;true
tuple::<impl cmp::PartialOrd for (W, V, U, T)>::ge;false;false;false;false
core_arch::x86::avx512f::_mm_roundscale_ss;true;true;true;false
<num::wrapping::Wrapping<u8> as ops::arith::Add>::add;false;false;false;false
num::saturating::Saturating::<i16>::trailing_zeros;false;false;false;false
<num::saturating::Saturating<u16> as ops::bit::BitAndAssign>::bitand_assign;false;false;true;false
<u32 as ops::bit::ShrAssign<&i64>>::shr_assign;false;false;true;false
<iter::adapters::inspect::Inspect<I, F> as iter::traits::iterator::Iterator>::next;false;false;true;false
<&'a usize as ops::bit::BitXor<usize>>::bitxor;false;false;false;false
<iter::adapters::inspect::Inspect<I, F> as iter::traits::double_ended::DoubleEndedIterator>::rfold;false;false;true;false
<core_arch::x86::__m256h as clone::Clone>::clone;false;false;true;false
core_arch::x86::avx512f::_mm512_reduce_or_epi64;true;true;false;false
core_arch::x86::avx512f::_mm512_kandn;true;true;false;false
<core_simd::vector::Simd<f64, 8> as core_simd::to_bytes::ToBytes>::to_ne_bytes;false;false;true;false
core_arch::x86::avx512bw::_mm256_maskz_unpackhi_epi16;true;true;false;false
core_arch::x86::avx512f::_mm256_mask_storeu_epi32;true;true;true;false
<num::wrapping::Wrapping<T> as fmt::Display>::fmt;false;false;true;false
core_arch::x86::avx512f::_mm256_mask_ternarylogic_epi64;true;true;false;false
core_arch::x86::avx512f::_mm512_maskz_getmant_pd;true;true;true;false
slice::<impl [T]>::partition_dedup_by;false;true;true;true
<num::flt2dec::decoder::Decoded as fmt::Debug>::fmt;false;false;true;false
<num::wrapping::Wrapping<i64> as ops::bit::Shr<usize>>::shr;false;false;false;false
<num::niche_types::NonZeroI8Inner as hash::Hash>::hash;false;false;true;false
<num::wrapping::Wrapping<usize> as ops::arith::Mul<&num::wrapping::Wrapping<usize>>>::mul;false;false;false;false
num::nonzero::NonZero::<i64>::isolate_most_significant_one;false;true;false;false
intrinsics::sub_with_overflow;false;false;false;false
<u8 as ops::bit::ShrAssign<i8>>::shr_assign;false;false;true;false
<num::FpCategory as fmt::Debug>::fmt;false;false;true;false
num::<impl u32>::strict_add_signed;false;false;false;false
fmt::Formatter::<'a>::sign_minus;false;false;true;false
