fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
f128::<impl f128>::is_nan;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::is_infinite;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::is_finite;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::is_subnormal;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::is_normal;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::classify;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::is_sign_positive;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::is_sign_negative;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::next_up;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::next_down;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::recip;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_degrees;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_radians;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::max;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::min;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::maximum;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::minimum;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::midpoint;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_int_unchecked;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_bits;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_be_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_le_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::to_ne_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::total_cmp;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::clamp;0;0;0;3;0;0;0;0;0;0;0;0;0
f128::<impl f128>::clamp::do_panic;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::clamp::do_panic::runtime;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::clamp::do_panic::compiletime;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::abs;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::signum;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::copysign;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_nan;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_infinite;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_finite;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_subnormal;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_normal;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::classify;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_sign_positive;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::is_sign_negative;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::next_up;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::next_down;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::recip;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_degrees;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_radians;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::max;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::min;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::maximum;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::minimum;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::midpoint;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_int_unchecked;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_bits;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_be_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_le_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::to_ne_bytes;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::total_cmp;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::clamp;0;0;0;3;0;0;0;0;0;0;0;0;0
f16::<impl f16>::clamp::do_panic;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::clamp::do_panic::runtime;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::clamp::do_panic::compiletime;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::abs;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::signum;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::copysign;0;0;0;2;0;0;0;0;0;0;0;0;0
f32::<impl f32>::is_nan;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::is_infinite;0;0;0;1;0;0;0;0;0;0;0;0;0
f32::<impl f32>::is_finite;0;0;0;1;0;0;0;0;0;0;0;0;0
