fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
f128::<impl f128>::to_int_unchecked;0;0;1;0;0
f128::<impl f128>::copysign;0;0;1;0;0
f16::<impl f16>::to_int_unchecked;0;0;1;0;0
f16::<impl f16>::copysign;0;0;1;0;0
f32::<impl f32>::to_int_unchecked;0;0;1;0;0
f32::<impl f32>::abs;0;0;1;0;0
f32::<impl f32>::copysign;0;0;1;0;0
f64::<impl f64>::to_int_unchecked;0;0;1;0;0
f64::<impl f64>::abs;0;0;1;0;0
f64::<impl f64>::copysign;0;0;1;0;0
<num::bignum::Big32x40 as fmt::Debug>::fmt;0;0;2;0;0
<num::bignum::tests::Big8x3 as fmt::Debug>::fmt;0;0;2;0;0
num::flt2dec::strategy::dragon::format_shortest;0;0;2;0;0
num::flt2dec::strategy::dragon::format_exact;0;0;4;0;0
num::flt2dec::strategy::grisu::format_shortest_opt;0;0;2;0;0
num::flt2dec::strategy::grisu::format_shortest;0;1;0;0;0
num::flt2dec::strategy::grisu::format_exact_opt;0;0;3;0;0
num::flt2dec::strategy::grisu::format_exact_opt::possibly_round;0;0;3;0;0
num::flt2dec::strategy::grisu::format_exact;0;1;0;0;0
num::flt2dec::digits_to_dec_str;0;0;6;0;0
num::flt2dec::digits_to_exp_str;0;0;1;0;0
num::flt2dec::to_shortest_str;0;0;4;0;0
num::flt2dec::to_shortest_exp_str;0;0;3;0;0
num::flt2dec::to_exact_exp_str;0;0;4;0;0
num::flt2dec::to_exact_fixed_str;0;0;6;0;0
num::int_sqrt::u16_stages;0;0;1;0;0
num::int_sqrt::u32_stages;0;0;2;0;0
num::int_sqrt::u64_stages;0;0;3;0;0
num::int_sqrt::u128_stages;0;0;4;0;0
<num::nonzero::NonZero<T> as cmp::Ord>::max;0;0;1;0;0
<num::nonzero::NonZero<T> as cmp::Ord>::min;0;0;1;0;0
<num::nonzero::NonZero<T> as cmp::Ord>::clamp;0;0;1;0;0
<num::nonzero::NonZero<T> as ops::bit::BitOr>::bitor;0;0;1;0;0
<num::nonzero::NonZero<T> as ops::bit::BitOr<T>>::bitor;0;0;1;0;0
num::nonzero::<impl ops::bit::BitOr<num::nonzero::NonZero<T>> for T>::bitor;0;0;1;0;0
num::nonzero::NonZero::<T>::from_mut;0;1;0;0;0
num::nonzero::NonZero::<u8>::leading_zeros;0;0;1;0;0
num::nonzero::NonZero::<u8>::trailing_zeros;0;0;1;0;0
num::nonzero::NonZero::<u8>::isolate_most_significant_one;0;0;1;0;0
num::nonzero::NonZero::<u8>::isolate_least_significant_one;0;0;1;0;0
num::nonzero::NonZero::<u8>::count_ones;0;0;1;0;0
num::nonzero::NonZero::<u8>::rotate_left;0;0;1;0;0
num::nonzero::NonZero::<u8>::rotate_right;0;0;1;0;0
num::nonzero::NonZero::<u8>::swap_bytes;0;0;1;0;0
num::nonzero::NonZero::<u8>::reverse_bits;0;0;1;0;0
num::nonzero::NonZero::<u8>::from_be;0;0;1;0;0
num::nonzero::NonZero::<u8>::from_le;0;0;1;0;0
