name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<constants::DwId as rustc_std_workspace_core::cmp::Ord>::cmp;false;false;false;false
<constants::DwSectV2 as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<read::endian_slice::EndianSlice<'input, Endian> as read::reader::Reader>::skip;false;false;true;false
read::cfi::FrameDescriptionEntry::<R>::parse_addresses;false;false;true;false
<read::str::DebugStrOffsets<R> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<constants::DwInl as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::cfi::RegisterRule::ValExpression;false;false;true;false
read::index::DebugTuIndex::<R>::index;false;false;true;false
<read::pubnames::DebugPubNames<R> as rustc_std_workspace_core::convert::From<R>>::from;false;false;false;false
<read::abbrev::Attributes as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<constants::DwAccess as rustc_std_workspace_core::fmt::Display>::fmt;false;false;true;false
read::pubtypes::PubTypesEntry::<R>::name;false;false;true;false
read::abbrev::Abbreviation::parse_attributes;false;false;true;true
<read::cfi::ParsedEhFrameHdr<R> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::endian_slice::DebugLen as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<common::RawRangeListsOffset<T> as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;true;false
<constants::DwChildren as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
read::rnglists::RangeLists::<R>::new;false;false;true;false
read::op::Evaluation::<R, S>::push;false;false;true;false
<read::value::Value as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
read::cfi::RegisterRule::Register;false;false;false;false
read::cfi::parse_pointer_encoding;false;false;true;false
<read::endian_slice::DebugByte as rustc_std_workspace_core::fmt::Debug>::fmt;false;true;true;false
read::cfi::EhHdrTable::<'a, R>::lookup;false;false;true;true
constants::DwVirtuality::static_string;false;false;false;false
<endianity::RunTimeEndian as rustc_std_workspace_core::default::Default>::default;false;false;false;false
read::unit::parse_type_offset;false;false;true;false
read::op::Operation::<R, Offset>::parse;false;false;true;false
read::unit::EntriesTreeNode::<'abbrev, 'unit, 'tree, R>::entry;false;false;true;false
<constants::DwChildren as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
constants::DwLne::static_string;false;false;false;false
read::cfi::UnwindContext::<T, S>::push_row;false;false;true;false
read::line::LineProgramHeader::<R, Offset>::line_base;false;false;true;false
<read::cfi::FrameDescriptionEntry<R, Offset> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::unit::EntriesTreeNode::<'abbrev, 'unit, 'tree, R>::new;false;false;true;false
<arch::X86 as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<read::endian_slice::EndianSlice<'input, Endian> as read::reader::Reader>::truncate;false;false;true;false
read::line::LineInstruction::FixedAddPc;false;false;false;false
constants::DwAddr::static_string;false;false;false;false
<read::cfi::PartialFrameDescriptionEntry<'bases, Section, R> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::rnglists::Range as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
<constants::DwDefaulted as rustc_std_workspace_core::fmt::Display>::fmt;false;false;true;false
read::line::LineRow::basic_block;false;false;true;false
common::DwoId;false;false;false;false
<read::aranges::ArangeHeaderIter<R> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<common::LocationListsOffset<T> as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;true;false
<constants::DwEhPe as rustc_std_workspace_core::fmt::Display>::fmt;false;false;true;false
read::dwarf::Dwarf::<R>::abbreviations;false;false;true;false
read::unit::AttributeValue::<R, Offset>::string_value;false;false;true;false
<read::rnglists::RawRange as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
read::pubnames::PubNamesEntryIter::<R>::next;false;false;true;false
"<[T; N] as read::util::ArrayLike>::as_mut_slice";false;false;true;false
read::line::LineInstruction::SetAddress;false;false;false;false
read::str::DebugLineStr::<R>::get_str;false;false;true;false
read::unit::UnitHeader::<R, Offset>::size_of_header;false;false;true;false
endianity::Endianity::read_u64;false;false;false;false
read::rnglists::RngListIter::<R>::next;false;false;true;true
read::line::LineInstruction::UnknownStandard1;false;false;false;false
read::dwarf::DwarfSections::<T>::borrow_with_sup;false;false;true;false
<constants::DwDsc as rustc_std_workspace_core::cmp::PartialOrd>::partial_cmp;false;false;false;false
read::cfi::UnwindContext::<T, S>::set_start_address;false;false;true;false
<read::dwarf::RangeIter<R> as rustc_std_workspace_core::default::Default>::default;false;false;false;false
read::loclists::LocListIter::<R>::new;false;false;true;false
<common::Encoding as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<common::Encoding as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
<arch::X86_64 as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<u64 as read::reader::ReaderOffset>::into_u64;false;false;false;false
<constants::DwDsc as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
read::aranges::ArangeHeaderIter::<R>::next;false;false;true;false
read::unit::EntriesRaw::<'abbrev, 'unit, R>::is_empty;false;false;true;false
read::endian_slice::DebugLen;false;false;false;false
read::unit::AttributeValue::Accessibility;false;false;false;false
read::line::LineRow::prologue_end;false;false;true;false
<constants::DwOrd as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<constants::DwUt as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
read::unit::parse_debug_info_offset;false;false;true;false
read::unit::EntriesTree::<'abbrev, 'unit, R>::next;false;false;true;true
read::reader::Reader::read_i64;false;false;true;false
<read::abbrev::AbbreviationsCacheStrategy as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<read::cfi::UnwindTableRow<T, S> as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;true;false
read::op::Expression::<R>::evaluation;false;false;true;false
constants::DwLang::static_string;false;false;false;false
read::unit::UnitHeader::<R, Offset>::entry;false;false;true;false
read::unit::AttributeValue::Data4;false;false;false;false
constants::DwEnd::static_string;false;false;false;false
<read::rnglists::RangeListsFormat as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
read::dwarf::Dwarf::<R>::attr_string;false;false;true;false
<constants::DwEhPe as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<read::abbrev::Attributes as rustc_std_workspace_core::ops::Deref>::deref;false;false;true;false
read::abbrev::Abbreviation::parse;false;false;true;false
read::line::parse_attribute;false;false;true;false
<read::aranges::ArangeEntry as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::str::DebugStr<R> as rustc_std_workspace_core::default::Default>::default;false;false;false;false
<read::abbrev::AttributeSpecification as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;true;false
<read::dwarf::DwarfSections<T> as rustc_std_workspace_core::default::Default>::default;false;false;false;false
read::value::ValueType::from_entry;false;false;true;true
read::cfi::FrameDescriptionEntry::<R>::rows;false;false;true;false
<read::cfi::RegisterRuleIter<'iter, T> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
read::cfi::EhHdrTable::<'a, R>::pointer_to_offset;false;false;true;false
<constants::DwLns as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<arch::MIPS as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<constants::DwMacro as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
read::Section::dwp_range;false;false;false;false
<read::cfi::Pointer as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;true;false
read::loclists::<impl common::DebugLocListsBase<Offset>>::default_for_encoding_and_file;false;false;false;false
read::cfi::PartialFrameDescriptionEntry::<'bases, Section, R>::cie_offset;false;false;true;false
<read::aranges::ArangeEntryIter<R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::cfi::RegisterRuleMap::<T, S>::is_default;false;false;true;false
read::dwarf::Unit::<R>::entries_at_offset;false;false;true;false
constants::DwSect::static_string;false;false;false;false
read::dwarf::Dwarf::<R>::format_error;false;false;true;false
arch::Arm::name_to_register;false;false;false;false
