fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
<common::Format as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::Format as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::Vendor as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::Encoding as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::Encoding as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::LineEncoding as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;4;2;0;0
<common::LineEncoding as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;2;0;0;0
<common::LineEncoding as rustc_std_workspace_core::cmp::PartialEq>::eq;0;0;0;0;0;0;0;0;0;4;0;0;0
<common::LineEncoding as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;0;0;0;0;0;0;0;0;0;2;0;0;0
<common::LineEncoding as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;2;1;0;0
<common::Register as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::Register as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::DebugAbbrevOffset<T> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;2;0;0;3;2;0;0
<common::DebugAbbrevOffset<T> as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;1;0;0;1;0;0;0
<common::DebugAbbrevOffset<T> as rustc_std_workspace_core::cmp::PartialEq>::eq;0;0;0;0;0;0;2;0;0;2;0;0;0
