name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
raw::RawTable::<T, A>::resize;true;true;true;false
raw::RawTableInner::probe_seq;false;false;true;false
<set::IntoIter<K, A> as rustc_std_workspace_core::iter::Iterator>::size_hint;false;false;true;false
raw::RawTableInner::drop_inner_table;true;true;true;false
set::HashSet::<T, S, A>::entry;false;false;true;false
raw_entry::RawOccupiedEntryMut::<'a, K, V, S, A>::into_key_value;false;true;true;false
<table::IterHashMut<'_, T> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
rustc_entry::RustcVacantEntry::<'a, K, V, A>::insert;false;true;true;false
<set::HashSet<T, S, A> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
raw::RawTable::<T, A>::with_capacity_in;false;false;false;false
map::HashMap::<K, V, S, A>::insert_unique_unchecked;true;true;true;false
raw::RawTableInner::find_inner;true;true;true;true
<raw::RawIterHash<T> as rustc_std_workspace_core::default::Default>::default;false;true;false;false
raw::RawTable::<T, A>::bucket_index;true;true;true;false
raw::RawTableInner::ctrl;true;true;true;false
<raw::RawDrain<'_, T, A> as rustc_std_workspace_core::iter::Iterator>::size_hint;false;false;true;false
<raw::RawIterHashInner as rustc_std_workspace_core::iter::Iterator>::next;false;true;true;true
table::HashTable::<T, A>::new_in;false;false;false;false
set::HashSet::<T, S, A>::iter;false;false;true;false
raw::RawTable::<T, A>::get_many_mut;false;true;true;true
map::assert_covariance::iter_val;false;false;true;false
table::HashTable::<T, A>::iter_hash;false;true;true;false
control::bitmask::BitMask::invert;false;false;false;false
<table::Iter<'_, T> as rustc_std_workspace_core::iter::ExactSizeIterator>::len;false;false;true;false
map::OccupiedEntry::<'a, K, V, S, A>::remove;false;false;true;false
table::HashTable::<T, A>::entry;false;false;true;false
table::VacantEntry::<'a, T, A>::insert;false;true;true;false
<table::Drain<'_, T, A> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<table::AbsentEntry<'_, T, A> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
raw::RawTableInner::iter;true;true;true;false
control::tag::Tag::is_special;false;false;false;false
<map::Keys<'_, K, V> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
raw_entry::RawEntryBuilderMut::<'a, K, V, S, A>::from_hash;false;false;true;false
raw::RawTable::<T, A>::iter;true;true;true;false
raw_entry::RawOccupiedEntryMut::<'a, K, V, S, A>::into_mut;false;true;true;false
<table::Iter<'a, T> as rustc_std_workspace_core::iter::Iterator>::next;false;true;true;false
map::HashMap::<K, V, S, A>::find_or_find_insert_slot;false;false;true;false
raw::RawTable::<T, A>::data_end;false;false;true;false
<raw::RawTable<T, A> as rustc_std_workspace_core::ops::Drop>::drop;false;true;true;false
map::OccupiedEntry::<'a, K, V, S, A>::insert;false;false;true;false
map::assert_covariance::keys_key;false;false;true;false
raw_entry::RawOccupiedEntryMut::<'a, K, V, S, A>::key_mut;false;true;true;false
<set::IntoIter<K, A> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
<table::Iter<'a, T> as rustc_std_workspace_core::iter::Iterator>::fold;false;false;true;true
raw::TableLayout::calculate_layout_for;false;true;true;false
raw::RawTable::<T, A>::insert;false;true;true;false
raw::RawIterRange::<T>::fold_impl;true;true;true;true
<map::Iter<'_, K, V> as rustc_std_workspace_core::default::Default>::default;false;false;false;false
rustc_entry::<impl map::Drain<'_, K, V>>::rustc_iter;false;false;true;false
set::HashSet::<T, S, A>::union;false;false;true;false
