fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
<control::bitmask::BitMaskIter as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;0;0;0;0;1;0;0
control::group::sse2::Group::load;0;0;0;0;0;0;0;0;1;0;0;0;0
control::group::sse2::Group::load_aligned;0;0;0;0;0;0;0;0;1;0;0;0;0
control::group::sse2::Group::store_aligned;0;0;0;0;0;0;0;0;1;0;0;0;0
<control::tag::Tag as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
control::tag::TagSliceExt::fill_empty;0;0;0;0;0;0;1;0;0;0;1;0;0
<[control::tag::Tag] as control::tag::TagSliceExt>::fill_tag;0;0;0;0;0;0;0;0;0;0;1;0;0
raw::offset_from;0;0;0;0;0;0;2;0;2;0;0;0;0
<raw::ProbeSeq as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;1;0;0;0
raw::ProbeSeq::move_next;0;0;0;0;0;0;0;0;0;1;1;0;0
<raw::TableLayout as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;1;0;0;0
raw::TableLayout::calculate_layout_for;0;0;0;0;0;0;0;0;0;1;0;0;0
<raw::Bucket<T> as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::from_base_index;0;0;0;0;0;0;1;0;1;1;0;0;0
raw::Bucket::<T>::to_base_index;0;0;0;0;0;0;2;0;2;3;0;0;0
raw::Bucket::<T>::as_ptr;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::as_non_null;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::next_n;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::drop;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::read;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::write;0;0;0;0;0;0;2;0;1;2;0;0;0
raw::Bucket::<T>::as_ref;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::Bucket::<T>::as_mut;0;0;0;0;0;0;1;0;1;2;0;0;0
raw::RawTable::<T, A>::allocator;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::data_end;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::data_start;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::allocation_size;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::bucket_index;0;0;0;0;0;0;3;0;2;7;0;0;0
raw::RawTable::<T, A>::bucket;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::erase_no_drop;0;0;0;0;0;0;3;0;2;7;1;0;0
raw::RawTable::<T, A>::erase;0;0;0;0;0;0;3;0;2;7;1;0;0
raw::RawTable::<T, A>::remove;0;0;0;0;0;0;3;0;2;7;1;0;0
raw::RawTable::<T, A>::remove_entry;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::clear_no_drop;0;0;0;0;0;0;2;0;1;5;1;0;0
raw::RawTable::<T, A>::clear;0;0;0;0;0;0;2;0;1;5;1;0;0
raw::RawTable::<T, A>::shrink_to;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::reserve;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::try_reserve;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::reserve_rehash;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::resize;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::insert;0;0;0;0;0;0;4;0;1;5;1;0;0
raw::RawTable::<T, A>::insert_entry;0;0;0;0;0;0;4;0;1;5;1;0;0
raw::RawTable::<T, A>::insert_no_grow;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::replace_bucket_with;0;0;0;0;0;0;4;0;2;7;1;0;0
raw::RawTable::<T, A>::find_or_find_insert_slot;0;0;0;0;0;0;4;0;1;5;1;0;0
raw::RawTable::<T, A>::insert_in_slot;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::find;0;0;0;0;0;0;3;0;1;5;0;0;0
raw::RawTable::<T, A>::get;0;0;0;0;0;0;3;0;1;5;0;0;0
raw::RawTable::<T, A>::get_mut;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::get_many_mut;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::get_many_unchecked_mut;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::get_many_mut_pointers;0;0;0;0;0;0;3;0;1;5;1;0;0
raw::RawTable::<T, A>::capacity;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::len;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::is_empty;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::buckets;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::is_bucket_full;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::iter;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::iter_hash;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTable::<T, A>::drain;0;0;0;0;0;0;2;0;1;5;1;0;0
raw::RawTable::<T, A>::drain_iter_from;0;0;0;0;0;0;3;0;3;10;1;0;0
raw::RawTable::<T, A>::into_iter_from;0;0;0;0;0;0;3;0;3;10;0;0;0
raw::RawTable::<T, A>::into_allocation;0;0;0;0;0;0;2;0;1;5;0;0;0
raw::RawTableInner::new_uninitialized;0;0;0;0;0;0;1;0;0;1;0;0;0
raw::RawTableInner::fallible_with_capacity;0;0;0;0;0;0;1;0;0;1;0;0;0
raw::RawTableInner::with_capacity;0;0;0;0;0;0;1;0;0;1;0;0;0
