name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<unix::linux_like::linux::ptp_clock_caps as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::IPTOS_TOS;true;false;false;false
<unix::linux_like::linux::gnu::b64::x86_64::flock64 as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::WIFSIGNALED;false;false;false;false
<unix::linux_like::linux::iw_scan_req as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::nlattr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ptp_extts_request as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::major;false;false;false;false
<unix::rusage as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::iw_encode_ext as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::uinput_ff_erase as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ff_periodic_effect as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::posix_spawn_file_actions_t as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::glob64_t as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::SCTP_PR_POLICY;true;false;false;false
unix::linux_like::linux::ELF64_R_TYPE;true;false;false;false
<unix::linux_like::linux::mq_attr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::Elf32_Ehdr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::fanotify_event_info_error as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::regex_t as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ff_envelope as core::clone::Clone>::clone;false;false;true;false
<unix::pollfd as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::tpacket_req3 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ptp_sys_offset_extended as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::b64::x86_64::siginfo_t as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::gnu::<impl unix::linux_like::linux::gnu::b64::x86_64::siginfo_t>::si_status;true;true;true;false
<unix::linux_like::linux::gnu::b64::x86_64::statvfs64 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::dmabuf_token as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::tm as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::WSTOPSIG;false;false;false;false
<unix::linux_like::linux::xsk_tx_metadata_completion as core::clone::Clone>::clone;false;false;false;false
unix::linux_like::linux::SCTP_PR_RTX_ENABLED;false;false;false;false
<unix::linux_like::linux::input_event as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sock_txtime as core::clone::Clone>::clone;false;false;false;false
unix::linux_like::KERNEL_VERSION;false;false;false;false
<unix::linux_like::linux::tpacket_req as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::__c_anonymous_sockaddr_can_can_addr as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::file_clone_range as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::sctp_sndinfo as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::mount_attr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::tpacket_stats_v3 as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::epoll_event as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::option as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::msghdr as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::gnu::b64::x86_64::sigaction as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::gnu::<impl unix::linux_like::linux::gnu::b64::x86_64::siginfo_t>::si_value;true;true;true;false
<unix::linux_like::linux::__c_anonymous__kernel_fsid_t as core::clone::Clone>::clone;false;false;false;false
<unix::linux_like::linux::gnu::b64::x86_64::ptrace_rseq_configuration as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::epoll_params as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::fanotify_event_info_header as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::ptp_sys_offset_precise as core::clone::Clone>::clone;false;false;true;false
<unix::linux_like::linux::Elf64_Sym as core::clone::Clone>::clone;false;false;true;false
unix::linux_like::linux::CPU_SET;true;false;true;false
unix::linux_like::linux::ELF32_R_TYPE;true;false;false;false
