name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<memmem::searcher::PrefilterState as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
arch::x86_64::avx2::memchr::One::iter;false;false;true;false
arch::x86_64::sse2::memchr::Two;false;false;true;false
arch::all::twoway::Shift::reverse;false;false;false;false
arch::x86_64::avx2::memchr::Three::find_raw_avx2;true;true;true;false
<arch::x86_64::sse2::memchr::One as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<arch::all::twoway::TwoWay as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<memmem::FindIter<'h, 'n> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
arch::all::packedpair::Finder::with_pair;false;false;true;false
memmem::FinderBuilder::build_forward_with_ranker;false;false;false;false
<arch::x86_64::sse2::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;false;true;true;false
<arch::x86_64::sse2::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;false;true;true;false
<memchr::Memchr3<'h> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
memchr::memchr3;false;true;false;false
<arch::all::packedpair::Finder as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<arch::all::rabinkarp::Finder as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
arch::all::rabinkarp::is_fast;false;false;false;false
memchr::memchr_raw;true;false;true;false
arch::all::is_equal_raw;true;true;true;true
arch::generic::packedpair::Finder::<V>::find;true;true;true;true
<memchr::Memchr<'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;false;true;true;false
arch::x86_64::avx2::memchr::Three::find_raw_sse2;true;true;true;false
<arch::x86_64::sse2::packedpair::Finder as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<memmem::searcher::PrefilterKind as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<arch::all::memchr::One as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
arch::all::rabinkarp::is_equal_raw;true;true;true;false
arch::generic::memchr::Iter::<'h>::count;false;false;true;false
arch::x86_64::sse2::memchr::Two::new;false;true;false;false
arch::x86_64::sse2::memchr::Two::find_raw_impl;true;true;true;false
vector::x86sse2::<impl vector::Vector for rustc_std_workspace_core::arch::x86_64::__m128i>::cmpeq;true;true;false;false
arch::generic::packedpair::Finder::<V>::new;true;true;true;false
arch::generic::memchr::Two::<V>::search_chunk;true;true;true;false
arch::generic::memchr::Iter::<'h>::size_hint;false;false;true;false
<arch::x86_64::sse2::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;false;true;true;false
arch::generic::memchr::Iter::<'h>::new;false;false;false;false
arch::x86_64::memchr::memchr2_raw;false;true;true;false
arch::x86_64::memchr::memchr3_raw::detect;true;true;true;false
<arch::all::memchr::Three as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
arch::all::rabinkarp::FinderRev::rfind;false;true;true;false
<memchr::Memchr<'h> as rustc_std_workspace_core::iter::Iterator>::count;false;false;true;false
vector::x86avx2::<impl vector::Vector for rustc_std_workspace_core::arch::x86_64::__m256i>::load_unaligned;true;true;true;false
memmem::searcher::SearcherRev::new;false;false;false;false
arch::generic::memchr::Two::<V>::needle1;false;false;true;false
arch::x86_64::avx2::memchr::Two::rfind_raw_sse2;true;true;true;false
memchr::memrchr2_iter;false;false;false;false
<memchr::Memchr<'h> as rustc_std_workspace_core::iter::Iterator>::next;false;true;true;false
memmem::searcher::Searcher::twoway;false;false;true;false
memmem::searcher::searcher_kind_empty;true;false;true;false
arch::x86_64::avx2::memchr::One::find_raw;true;true;true;false
memmem::FinderRev::<'n>::new;false;false;false;false
arch::all::twoway::Finder::new;false;false;false;false
arch::x86_64::sse2::memchr::Two::rfind_raw_impl;true;true;true;false
arch::x86_64::avx2::memchr::Three::rfind_raw_avx2;true;true;true;false
arch::all::twoway::Finder::find_large_imp;false;false;true;true
<arch::generic::memchr::Two<V> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
memmem::FindRevIter::<'h, 'n>::new;false;false;true;false
memchr::memrchr3_iter;false;false;false;false
arch::x86_64::sse2::memchr::Three::rfind;false;true;true;false
arch::all::memchr::One::count_raw;true;true;true;true
arch::x86_64::sse2::memchr::Three::iter;false;false;true;false
arch::x86_64::memchr::memchr3_raw;false;true;true;false
<vector::SensibleMoveMask as vector::MoveMask>::all_zeros_except_least_significant;false;false;false;false
arch::all::rabinkarp::Hash::del;false;false;true;false
arch::x86_64::avx2::memchr::Two::rfind;false;true;true;false
memmem::Finder::<'n>::find;false;false;true;false
<vector::SensibleMoveMask as vector::MoveMask>::first_offset;false;false;false;false
arch::x86_64::memchr::memchr3_raw::find_avx2;true;true;true;false
arch::generic::memchr::One::<V>::find_raw;true;true;true;true
<memmem::searcher::SearcherRev as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<arch::all::twoway::Shift as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
memmem::searcher::Pre::<'a>::find;false;false;true;false
<arch::all::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;false;true;true;false
<arch::all::rabinkarp::Hash as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<arch::generic::packedpair::Finder<V> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
arch::x86_64::sse2::memchr::Three::is_available;false;false;false;false
arch::x86_64::sse2::packedpair::Finder;false;false;true;false
arch::all::memchr::One::count;false;true;false;false
<arch::x86_64::avx2::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::size_hint;false;false;true;false
cow::Imp;false;false;false;false
<memmem::searcher::Prefilter as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
arch::generic::memchr::Three::<V>::needle3;false;false;true;false
cow::Imp::<'a>::as_slice;false;false;false;false
<vector::SensibleMoveMask as vector::MoveMask>::last_offset;false;false;false;false
<arch::x86_64::sse2::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
arch::generic::packedpair::Finder::<V>::find_prefilter_in_chunk;true;true;true;false
arch::all::twoway::Finder::find_small_imp;false;false;true;true
arch::all::twoway::FinderRev;false;false;true;false
arch::x86_64::avx2::memchr::Two::rfind_raw;true;true;true;false
<memmem::searcher::Searcher as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<arch::x86_64::avx2::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::size_hint;false;false;true;false
