fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
<arch::all::memchr::One as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
arch::all::memchr::One::find_raw;0;0;0;0;0;0;0;0;2;0;0;0;0
arch::all::memchr::One::rfind_raw;0;0;0;0;0;0;0;0;2;0;0;0;0
arch::all::memchr::One::count_raw;0;0;0;0;0;0;0;0;2;0;0;0;0
<arch::all::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;1;4;0;0;0
<arch::all::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;1;6;2;0;0
<arch::all::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;0;0;1;4;1;0;0
<arch::all::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::count;0;0;0;0;0;0;0;0;1;4;0;0;0
<arch::all::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::size_hint;0;0;0;0;0;0;0;0;1;4;0;0;0
<arch::all::memchr::OneIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;0;0;0;0;0;0;0;0;1;4;1;0;0
<arch::all::memchr::Two as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;2;0;0;0
<arch::all::memchr::Two as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;4;2;0;0
arch::all::memchr::Two::find;0;0;0;0;0;0;0;0;0;2;0;0;0
arch::all::memchr::Two::rfind;0;0;0;0;0;0;0;0;0;2;0;0;0
arch::all::memchr::Two::find_raw;0;0;0;0;0;0;0;0;2;2;0;0;0
arch::all::memchr::Two::rfind_raw;0;0;0;0;0;0;0;0;2;2;0;0;0
arch::all::memchr::Two::iter;0;0;0;0;0;0;0;0;0;2;0;0;0
arch::all::memchr::Two::has_needle;0;0;0;0;0;0;0;0;0;2;0;0;0
arch::all::memchr::Two::confirm;0;0;0;0;0;0;0;0;0;2;0;0;0
<arch::all::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;1;6;0;0;0
<arch::all::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;1;8;2;0;0
<arch::all::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;0;0;1;6;1;0;0
<arch::all::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::size_hint;0;0;0;0;0;0;0;0;1;6;0;0;0
<arch::all::memchr::TwoIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;0;0;0;0;0;0;0;0;1;6;1;0;0
<arch::all::memchr::Three as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;4;0;0;0
<arch::all::memchr::Three as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;6;2;0;0
arch::all::memchr::Three::find;0;0;0;0;0;0;0;0;0;4;0;0;0
arch::all::memchr::Three::rfind;0;0;0;0;0;0;0;0;0;4;0;0;0
arch::all::memchr::Three::find_raw;0;0;0;0;0;0;0;0;2;4;0;0;0
arch::all::memchr::Three::rfind_raw;0;0;0;0;0;0;0;0;2;4;0;0;0
arch::all::memchr::Three::iter;0;0;0;0;0;0;0;0;0;4;0;0;0
arch::all::memchr::Three::has_needle;0;0;0;0;0;0;0;0;0;4;0;0;0
arch::all::memchr::Three::confirm;0;0;0;0;0;0;0;0;0;4;0;0;0
<arch::all::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;1;8;0;0;0
<arch::all::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;1;10;2;0;0
<arch::all::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::next;0;0;0;0;0;0;0;0;1;8;1;0;0
<arch::all::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::iter::Iterator>::size_hint;0;0;0;0;0;0;0;0;1;8;0;0;0
<arch::all::memchr::ThreeIter<'a, 'h> as rustc_std_workspace_core::iter::DoubleEndedIterator>::next_back;0;0;0;0;0;0;0;0;1;8;1;0;0
<arch::all::packedpair::Finder as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;3;0;0;0
<arch::all::packedpair::Finder as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;5;2;0;0
arch::all::packedpair::Finder::with_pair;0;0;0;0;0;0;0;0;0;1;0;0;0
arch::all::packedpair::Finder::find_prefilter;0;0;0;0;0;0;0;0;0;3;0;0;0
arch::all::packedpair::Finder::pair;0;0;0;0;0;0;0;0;0;3;0;0;0
<arch::all::packedpair::Pair as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;1;0;0;0
<arch::all::packedpair::Pair as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;3;2;0;0
