name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
inflate::core::start_static_table;false;false;true;false
<inflate::TINFLStatus as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
MZFlush::new;false;false;false;false
inflate::core::read_u16_le;false;false;true;false
<DataFormat as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
inflate::output_buffer::OutputBuffer::<'a>::write_slice;false;false;true;false
inflate::core::read_bits;false;false;true;true
inflate::core::fill_bit_buffer;false;false;true;false
<DataFormat as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
inflate::output_buffer::OutputBuffer::<'a>::get_mut;false;false;true;false
DataFormat::to_window_bits;false;false;false;false
<inflate::core::LocalVars as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
StreamResult::error;false;false;false;false
inflate::core::Action::End;false;false;false;false
inflate::output_buffer::InputWrapper::<'a>::bytes_left;false;false;false;false
<inflate::stream::InflateState as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
inflate::output_buffer::OutputBuffer::<'a>::get_ref;false;false;true;false
inflate::stream::push_dict_out;false;false;true;false
inflate::core::reverse_bits;false;false;false;false
<MZStatus as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
<MZError as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
inflate::stream::inflate_loop;false;false;true;true
<inflate::stream::FullReset as inflate::stream::ResetPolicy>::reset;false;false;true;false
<inflate::TINFLStatus as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;false;false;false;false
<MZFlush as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
<MZError as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<inflate::TINFLStatus as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<MZFlush as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<MZFlush as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
inflate::core::validate_zlib_header;false;false;false;false
<impl rustc_std_workspace_core::convert::From<&StreamResult> for rustc_std_workspace_core::result::Result<MZStatus, MZError>>::from;false;false;true;false
<MZStatus as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
DataFormat::from_window_bits;false;false;false;false
