name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<read::coff::file::CoffFile<'data, R, Coff> as read::traits::Object<'data>>::dynamic_symbol_table;false;false;true;false
<elf::ProgramHeader64<Endian> as read::elf::segment::ProgramHeader>::p_vaddr;false;false;true;false
<read::Error as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<read::macho::fat::MachOFatFile<'data, Fat> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::xcoff::symbol::XcoffSymbol<'data, 'file, Xcoff, R> as read::traits::ObjectSymbol<'data>>::is_undefined;false;false;true;false
read::coff::section::CoffSection::<'data, 'file, R, Coff>::coff_section;false;false;true;false
<common::ComdatKind as rustc_std_workspace_core::cmp::PartialEq>::eq;false;false;false;false
<common::BinaryFormat as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
<read::any::File<'data, R> as read::traits::Object<'data>>::sub_architecture;false;false;true;false
<macho::VersionMinCommand<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<xcoff::FileHeader64 as read::xcoff::file::FileHeader>::f_timdat;false;false;true;false
<read::SymbolMap<T> as rustc_std_workspace_core::default::Default>::default;false;false;false;false
endian::Endian::read_u32_bytes;false;false;false;false
read::CodeView::<'data>::age;false;false;true;false
<read::pe::export::ExportTable<'data> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
endian::Endian::write_u16_bytes;false;false;false;false
<elf::ProgramHeader64<Endian> as read::elf::segment::ProgramHeader>::p_offset;false;false;true;false
<read::util::DebugByte as rustc_std_workspace_core::fmt::Debug>::fmt;false;true;true;false
read::elf::section::SectionTable::<'data, Elf, R>::symbol_table_by_index;false;false;true;false
<read::macho::load_command::LoadCommandData<'data, E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<macho::SegmentCommand32<Endian> as read::macho::segment::Segment>::maxprot;false;false;true;false
<common::SubArchitecture as rustc_std_workspace_core::hash::Hash>::hash;false;false;true;false
<pe::ImageOptionalHeader64 as read::pe::file::ImageOptionalHeader>::major_operating_system_version;false;false;true;false
read::macho::symbol::SymbolTable::<'data, Mach, R>::iter;false;false;true;false
<read::elf::hash::GnuHashTable<'data, Elf> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::pe::relocation::RelocationBlockIterator::<'data>::new;false;false;false;false
read::xcoff::symbol::SymbolTable::<'data, Xcoff, R>::parse;false;false;false;false
<read::coff::comdat::CoffComdatIterator<'data, 'file, R, Coff> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::xcoff::symbol::XcoffSymbol::<'data, 'file, Xcoff, R>::xcoff_file;false;false;true;false
read::Relocation::flags;false;false;true;false
<elf::Sym64<E> as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
elf::Rela64::<E>::r_sym;false;false;true;false
<macho::FatHeader as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
read::any::SectionIteratorInternal::Xcoff64;false;false;true;false
read::coff::import::ImportName::Ordinal;false;false;false;false
<elf::CompressionHeader32<Endian> as read::elf::compression::CompressionHeader>::ch_size;false;false;true;false
<read::xcoff::section::XcoffSection<'data, 'file, Xcoff, R> as read::traits::ObjectSection<'data>>::name;false;false;true;false
<common::SectionFlags as rustc_std_workspace_core::clone::Clone>::clone;false;false;true;false
<read::any::SectionIterator<'data, 'file, R> as rustc_std_workspace_core::iter::Iterator>::next;false;false;true;false
<elf::Rel32<Endian> as read::elf::relocation::Rel>::r_offset;false;false;true;false
read::any::SegmentInternal::Elf64;false;false;true;false
read::coff::symbol::SymbolTable::<'data, R, Coff>::iter;false;false;true;false
<elf::Sym32<Endian> as read::elf::symbol::Sym>::st_bind;false;false;true;false
<read::any::Section<'data, 'file, R> as read::traits::ObjectSection<'data>>::index;false;false;true;false
<common::RelocationEncoding as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
<macho::SegmentCommand32<Endian> as read::macho::segment::Segment>::initprot;false;false;true;false
read::coff::symbol::ImageSymbol::has_aux_section;false;false;false;false
<elf::Rela64<E> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::traits::Object::build_id;false;false;false;false
<read::elf::file::ElfFile<'data, Elf, R> as rustc_std_workspace_core::fmt::Debug>::fmt;false;false;true;false
read::elf::comdat::ElfComdat::<'data, 'file, Elf, R>::elf_section_header;false;false;true;false
endian::U64Bytes::<E>::set;false;false;true;false
<read::any::File<'data, R> as read::traits::Object<'data>>::gnu_debugaltlink;false;false;true;false
