fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
<common::Architecture as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::Architecture as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::SubArchitecture as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::SubArchitecture as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::AddressSize as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::AddressSize as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::BinaryFormat as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::BinaryFormat as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::SectionKind as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::SectionKind as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::ComdatKind as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::ComdatKind as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::SymbolKind as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::SymbolKind as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::SymbolScope as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::SymbolScope as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::RelocationKind as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::RelocationKind as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::RelocationEncoding as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;2;2;0;0
<common::RelocationEncoding as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;0;1;0;0
<common::FileFlags as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;5;2;0;0
<common::FileFlags as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;3;0;0;0
<common::FileFlags as rustc_std_workspace_core::cmp::PartialEq>::eq;0;0;0;0;0;0;0;0;0;6;0;0;0
<common::FileFlags as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;0;0;0;0;0;0;0;0;0;3;0;0;0
<common::FileFlags as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;3;1;0;0
<common::SegmentFlags as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;6;2;0;0
<common::SegmentFlags as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;4;0;0;0
<common::SegmentFlags as rustc_std_workspace_core::cmp::PartialEq>::eq;0;0;0;0;0;0;0;0;0;8;0;0;0
<common::SegmentFlags as rustc_std_workspace_core::cmp::Eq>::assert_receiver_is_total_eq;0;0;0;0;0;0;0;0;0;4;0;0;0
<common::SegmentFlags as rustc_std_workspace_core::hash::Hash>::hash;0;0;0;0;0;0;1;0;0;4;1;0;0
<common::SectionFlags as rustc_std_workspace_core::fmt::Debug>::fmt;0;0;0;0;0;0;1;0;0;4;2;0;0
<common::SectionFlags as rustc_std_workspace_core::clone::Clone>::clone;0;0;0;0;0;0;0;0;0;2;0;0;0
