name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<std::num::NonZero<u32> as bridge::rpc::DecodeMut<'_, '_, S>>::decode;false;false;true;false
<() as bridge::Unmark>::unmark;false;false;false;false
Literal::f64_suffixed;false;false;true;false
<bridge::Diagnostic<Span> as std::fmt::Debug>::fmt;false;false;true;false
bridge::symbol::<impl bridge::rpc::Encode<bridge::server::HandleStore<bridge::server::MarkedTypes<S>>> for bridge::Marked<<S as bridge::server::Types>::Symbol, bridge::symbol::Symbol>>::encode;false;false;true;false
bridge::<impl bridge::rpc::DecodeMut<'a, '_, S> for std::result::Result<T, E>>::decode;false;false;true;false
<bridge::server::MarkedTypes<S> as bridge::server::TokenStream>::concat_trees;false;false;true;false
<token_stream::IntoIter as std::clone::Clone>::clone;false;false;true;false
<bridge::rpc::PanicMessage as std::convert::From<std::boxed::Box<(dyn std::any::Any + std::marker::Send + 'static)>>>::from;false;true;false;false
bridge::api_tags::Method::SourceFile;false;false;false;false
<bridge::Literal<Span, Symbol> as std::clone::Clone>::clone;false;false;true;false
Literal::u64_unsuffixed;false;false;false;false
<diagnostic::Diagnostic as std::fmt::Debug>::fmt;false;false;true;false
bridge::rpc::<impl std::convert::From<bridge::rpc::PanicMessage> for std::boxed::Box<(dyn std::any::Any + std::marker::Send + 'static)>>::from;false;false;true;false
Literal::i128_unsuffixed;false;false;false;false
<bridge::ExpnGlobals<Span> as std::clone::Clone>::clone;false;false;true;false
<bridge::server::MaybeCrossThread<P> as bridge::server::ExecutionStrategy>::run_bridge_and_client;false;false;true;false
bridge::client::is_available;false;false;false;false
<bridge::server::MarkedTypes<S> as bridge::server::Server>::with_symbol_string;false;false;true;false
<bridge::buffer::Buffer as std::io::Write>::write;false;false;true;false
<TokenTree as std::convert::From<Group>>::from;false;false;true;false
<bridge::Literal<Span, Symbol> as std::cmp::Eq>::assert_receiver_is_total_eq;false;false;true;false
<bridge::server::Dispatcher<bridge::server::MarkedTypes<S>> as bridge::server::DispatcherTrait>::dispatch;false;false;true;false
<bridge::Literal<Sp, Sy> as bridge::Unmark>::unmark;false;false;true;false
bridge::handle::OwnedStore::<T>::take;false;false;true;false
Literal::with_symbol_and_suffix;false;false;true;false
<bridge::symbol::Symbol as std::hash::Hash>::hash;false;false;true;false
<std::rc::Rc<T> as to_tokens::ToTokens>::to_tokens;false;false;true;false
<bridge::api_tags::FreeFunctions as bridge::rpc::Encode<S>>::encode;false;false;true;false
<bridge::buffer::Buffer as std::ops::DerefMut>::deref_mut;false;true;true;false
bridge::client::Span::end;false;false;true;false
bridge::client::TokenStream::is_empty;false;false;true;false
<std::option::Option<T> as to_tokens::ToTokens>::to_tokens;false;false;true;false
<bridge::buffer::Buffer as std::ops::Deref>::deref;false;true;true;false
bridge::client::Span::start;false;false;true;false
<SourceFile as std::cmp::PartialEq>::eq;false;false;true;false
<bridge::buffer::Buffer as std::convert::From<std::vec::Vec<u8>>>::from::to_vec;false;true;true;false
<bridge::server::MarkedTypes<S> as bridge::server::TokenStream>::expand_expr;false;false;true;false
<u16 as to_tokens::ToTokens>::to_tokens;false;false;true;false
Punct::as_char;false;false;true;false
Ident;false;false;true;false
<bridge::server::MarkedTypes<S> as bridge::server::TokenStream>::to_string;false;false;true;false
bridge::server::HandleStore::<S>::new;false;false;true;false
bridge::server::CrossThread;false;false;false;false
<Ident as std::fmt::Display>::fmt;false;false;true;false
<bridge::Group<TokenStream, Span> as bridge::rpc::Encode<S>>::encode;false;false;true;false
bridge::client::Span::debug;false;false;true;false
<bridge::client::ProcMacro as std::clone::Clone>::clone;false;false;true;false
<std::collections::Bound<T> as bridge::Mark>::mark;false;false;true;false
Span::byte_range;false;false;true;false
<TokenStream as std::iter::Extend<TokenStream>>::extend;false;false;true;true
<TokenTree as std::clone::Clone>::clone;false;false;true;false
Literal::u16_suffixed;false;false;false;false
TokenTree::Literal;false;false;true;false
<ExpandError as std::fmt::Display>::fmt;false;false;true;false
Group::stream;false;false;true;false
<Literal as std::fmt::Debug>::fmt;false;false;true;false
bridge::symbol::Interner::get;false;false;true;false
<bridge::TokenTree<TokenStream, Span, Symbol> as std::clone::Clone>::clone;false;false;true;false
Ident::span;false;false;true;false
bridge::TokenTree::Literal;false;false;true;false
<bridge::Literal<Sp, Sy> as bridge::rpc::Encode<S>>::encode;false;false;true;false
Literal::i8_unsuffixed;false;false;false;false
bridge::closure::Closure::<'a, A, R>::call;false;true;true;false
bridge::client::SourceFile::drop;false;false;true;false
bridge::server::<impl bridge::rpc::Encode<bridge::server::HandleStore<bridge::server::MarkedTypes<S>>> for bridge::Marked<<S as bridge::server::Types>::Span, bridge::client::Span>>::encode;false;false;true;false
Span::recover_proc_macro_span;false;false;false;false
Group::span_open;false;false;true;false
Ident::new;false;false;true;false
<bridge::handle::OwnedStore<T> as std::ops::IndexMut<std::num::NonZero<u32>>>::index_mut;false;false;true;false
