fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
bridge::arena::Arena::grow;1;0;0;0;0;0;3;1;2;13;0;0;1
bridge::arena::Arena::alloc_raw_without_grow;1;0;0;0;0;0;3;1;2;13;0;0;1
bridge::arena::Arena::alloc_raw;1;0;0;0;0;0;3;1;2;13;0;0;1
bridge::arena::Arena::alloc_str;1;0;0;0;0;0;3;1;2;13;0;0;1
<bridge::buffer::Buffer as std::ops::Deref>::deref;0;0;0;0;0;2;0;0;1;5;0;0;0
<bridge::buffer::Buffer as std::ops::DerefMut>::deref_mut;0;0;0;0;0;2;0;0;1;5;1;0;0
bridge::buffer::Buffer::clear;0;0;0;0;0;2;0;0;1;5;1;0;0
bridge::buffer::Buffer::take;0;0;0;0;0;2;0;0;1;5;1;0;0
bridge::buffer::Buffer::extend_from_array;0;0;0;0;0;2;0;0;1;5;1;0;0
bridge::buffer::Buffer::extend_from_slice;0;0;0;0;0;2;0;0;1;5;1;0;0
bridge::buffer::Buffer::push;0;0;0;0;0;2;0;0;1;5;1;0;0
<bridge::buffer::Buffer as std::io::Write>::write;0;0;0;0;0;2;0;0;1;5;1;0;0
<bridge::buffer::Buffer as std::io::Write>::write_all;0;0;0;0;0;2;0;0;1;5;1;0;0
<bridge::buffer::Buffer as std::io::Write>::flush;0;0;0;0;0;2;0;0;1;5;1;0;0
<bridge::buffer::Buffer as std::ops::Drop>::drop;0;0;0;0;0;2;0;0;1;5;1;0;0
<bridge::buffer::Buffer as std::convert::From<std::vec::Vec<u8>>>::from;0;0;0;0;0;0;3;0;1;7;0;0;0
<bridge::buffer::Buffer as std::convert::From<std::vec::Vec<u8>>>::from::to_vec;0;0;0;0;0;2;0;0;1;5;0;0;0
<bridge::buffer::Buffer as std::convert::From<std::vec::Vec<u8>>>::from::reserve;0;0;0;0;0;2;0;0;1;5;0;0;0
<bridge::buffer::Buffer as std::convert::From<std::vec::Vec<u8>>>::from::drop;0;0;0;0;0;2;0;0;1;5;0;0;0
<bridge::client::FreeFunctions as std::ops::Drop>::drop;0;0;0;0;0;0;1;0;1;0;1;0;0
<bridge::client::FreeFunctions as bridge::rpc::Encode<S>>::encode;0;0;0;0;0;2;2;0;2;5;2;0;0
<&bridge::client::FreeFunctions as bridge::rpc::Encode<S>>::encode;0;0;0;0;0;2;2;0;2;5;2;0;0
<&mut bridge::client::FreeFunctions as bridge::rpc::Encode<S>>::encode;0;0;0;0;0;2;2;0;2;5;3;0;0
