fn_name;iterators;loops;nested_loops
legacy::demangle;1;3;0
legacy::is_rust_hash;1;0;0
<legacy::Demangle<'a> as rustc_std_workspace_core::fmt::Display>::fmt;1;86;0
v0::demangle;1;0;0
v0::Ident::<'s>::punycode_decode;0;8;0
v0::HexNibbles::<'s>::try_parse_uint;0;1;0
v0::HexNibbles::<'s>::try_parse_str_chars;1;0;0
v0::Parser::<'s>::hex_nibbles;0;3;0
v0::Parser::<'s>::integer_62;0;1;0
v0::Parser::<'s>::ident;1;1;0
v0::Printer::<'a, 'b, 's>::print_quoted_escaped_chars;0;7;0
v0::Printer::<'a, 'b, 's>::in_binder;0;2;0
v0::Printer::<'a, 'b, 's>::print_sep_list;0;2;0
v0::Printer::<'a, 'b, 's>::print_dyn_trait;0;2;0
demangle;1;0;0
is_symbol_like;1;0;0
