name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
detect::arch::x86::__is_feature_detected::avx512dq;false;false;false;false
detect::arch::x86::__is_feature_detected::sha512;false;false;false;false
detect::arch::x86::__is_feature_detected::rdseed;false;false;false;false
detect::arch::x86::__is_feature_detected::avx2;false;false;false;false
detect::cache::initialize;false;false;false;false
detect::cache::test_bit;false;false;false;false
detect::bit::test;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512vpopcntdq;false;false;false;false
detect::arch::x86::__is_feature_detected::fxsr;false;false;false;false
detect::cache::detect_and_initialize;false;false;false;false
detect::arch::x86::__is_feature_detected::adx;false;false;false;false
detect::arch::x86::__is_feature_detected::pclmulqdq;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512vbmi;false;false;false;false
detect::arch::x86::__is_feature_detected::amx_complex;false;false;false;false
detect::arch::x86::__is_feature_detected::rtm;false;false;false;false
<detect::cache::Initializer as rustc_std_workspace_core::default::Default>::default;false;false;false;false
detect::check_for;false;false;false;false
detect::arch::x86::__is_feature_detected::amx_bf16;false;false;false;false
detect::cache::Initializer;false;false;false;false
<detect::arch::x86::Feature as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
detect::arch::x86::__is_feature_detected::amx_int8;false;false;false;false
detect::arch::x86::__is_feature_detected::xsaves;false;false;false;false
detect::arch::x86::__is_feature_detected::avxvnniint16;false;false;false;false
detect::arch::x86::__is_feature_detected::kl;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512vp2intersect;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512vnni;false;false;false;false
detect::arch::x86::__is_feature_detected::movbe;false;false;false;false
detect::arch::x86::__is_feature_detected::tsc;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512fp16;false;false;false;false
detect::arch::x86::__is_feature_detected::sse;false;false;false;false
detect::arch::x86::__is_feature_detected::amx_tile;false;false;false;false
detect::arch::x86::__is_feature_detected::xsaveopt;false;false;false;false
detect::arch::x86::__is_feature_detected::xop;false;false;false;false
detect::cache::Initializer::set;false;false;true;false
detect::cache::Cache::uninitialized;false;false;false;false
detect::arch::x86::__is_feature_detected::sm3;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512bitalg;false;false;false;false
detect::arch::x86::__is_feature_detected::sse4_2;false;false;false;false
detect::arch::x86::__is_feature_detected::xsave;false;false;false;false
detect::os::detect_features;false;true;false;false
detect::cache::Cache;false;false;true;false
detect::arch::x86::Feature::to_str;false;false;false;false
detect::arch::x86::__is_feature_detected::ssse3;false;false;false;false
detect::arch::x86::__is_feature_detected::aes;false;false;false;false
<detect::cache::Initializer as rustc_std_workspace_core::clone::Clone>::clone;false;false;false;false
detect::cache::set_bit;false;false;false;false
detect::cache::do_initialize;false;false;false;false
detect::arch::x86::__is_feature_detected::sse3;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512cd;false;false;false;false
detect::cache::Initializer::test;false;false;false;false
detect::arch::x86::__is_feature_detected::rdrand;false;false;false;false
detect::arch::x86::__is_feature_detected::ermsb;false;false;false;false
detect::arch::x86::__is_feature_detected::sse2;false;false;false;false
detect::arch::x86::__is_feature_detected::avxneconvert;false;false;false;false
detect::arch::x86::__is_feature_detected::avx;false;false;false;false
detect::arch::x86::__is_feature_detected::sse4_1;false;false;false;false
detect::arch::x86::__is_feature_detected::xsavec;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512ifma;false;false;false;false
detect::arch::x86::__is_feature_detected::mmx;false;false;false;false
detect::arch::x86::__is_feature_detected::sse4a;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512f;false;false;false;false
detect::arch::x86::__is_feature_detected::f16c;false;false;false;false
detect::arch::x86::__is_feature_detected::vaes;false;false;false;false
detect::arch::x86::__is_feature_detected::lzcnt;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512er;false;false;false;false
detect::arch::x86::__is_feature_detected::popcnt;false;false;false;false
detect::cache::unset_bit;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512bf16;false;false;false;false
detect::arch::x86::__is_feature_detected::avxvnniint8;false;false;false;false
detect::features;false;false;false;false
detect::arch::x86::__is_feature_detected::gfni;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512bw;false;false;false;false
detect::arch::x86::__is_feature_detected::bmi2;false;false;false;false
detect::arch::x86::__is_feature_detected::avxifma;false;false;false;false
detect::arch::x86::__is_feature_detected::fma;false;false;false;false
detect::arch::x86::__is_feature_detected::tbm;false;false;false;false
detect::arch::x86::__is_feature_detected::sha;false;false;false;false
detect::arch::x86::__is_feature_detected::cmpxchg16b;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512pf;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512vl;false;false;false;false
detect::arch::x86::__is_feature_detected::amx_fp16;false;false;false;false
detect::arch::x86::__is_feature_detected::widekl;false;false;false;false
detect::cache::Cache::initialize;false;false;true;false
detect::cache::test;false;false;false;false
detect::arch::x86::__is_feature_detected::bmi1;false;false;false;false
detect::arch::x86::__is_feature_detected::vpclmulqdq;false;false;false;false
detect::cache::Cache::test;false;false;true;false
detect::arch::x86::__is_feature_detected::avxvnni;false;false;false;false
detect::arch::x86::__is_feature_detected::sm4;false;false;false;false
detect::arch::x86::__is_feature_detected::avx512vbmi2;false;false;false;false
detect::cache::Initializer::unset;false;false;true;false
