fn_name;iterators;loops;nested_loops
thread::scoped::scope;0;1;0
<thread::spawnhook::SpawnHooks as core::ops::Drop>::drop;0;1;0
thread::spawnhook::run_spawn_hooks;1;0;0
thread::spawnhook::ChildSpawnHooks::run;0;1;0
thread::ThreadId::new;0;1;0
<backtrace::Backtrace as core::fmt::Debug>::fmt;0;2;0
<backtrace::Backtrace as core::fmt::Display>::fmt;0;3;0
<collections::hash::map::HashMap<K, V, S> as core::cmp::PartialEq>::eq;1;0;0
<collections::hash::map::Iter<'a, K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::IterMut<'a, K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::IntoIter<K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::Keys<'a, K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::Values<'a, K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::ValuesMut<'a, K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::IntoKeys<K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::IntoValues<K, V> as core::iter::Iterator>::fold;1;0;0
<collections::hash::map::Drain<'a, K, V> as core::iter::Iterator>::fold;1;0;0
collections::hash::set::HashSet::<T, S>::is_disjoint;2;0;0
collections::hash::set::HashSet::<T, S>::is_subset;1;0;0
<collections::hash::set::HashSet<T, S> as core::cmp::PartialEq>::eq;1;0;0
<&collections::hash::set::HashSet<T, S> as core::ops::BitOr<&collections::hash::set::HashSet<T, S>>>::bitor;1;0;0
<&collections::hash::set::HashSet<T, S> as core::ops::BitAnd<&collections::hash::set::HashSet<T, S>>>::bitand;1;0;0
<&collections::hash::set::HashSet<T, S> as core::ops::BitXor<&collections::hash::set::HashSet<T, S>>>::bitxor;1;0;0
<&collections::hash::set::HashSet<T, S> as core::ops::Sub<&collections::hash::set::HashSet<T, S>>>::sub;1;0;0
<collections::hash::set::Iter<'a, K> as core::iter::Iterator>::fold;1;0;0
<collections::hash::set::IntoIter<K> as core::iter::Iterator>::fold;1;0;0
<collections::hash::set::Drain<'a, K> as core::iter::Iterator>::fold;1;0;0
<collections::hash::set::Intersection<'a, T, S> as core::iter::Iterator>::next;0;1;0
<collections::hash::set::Intersection<'a, T, S> as core::iter::Iterator>::fold;1;0;0
<collections::hash::set::Difference<'a, T, S> as core::iter::Iterator>::next;0;1;0
<collections::hash::set::Difference<'a, T, S> as core::iter::Iterator>::fold;1;0;0
<collections::hash::set::SymmetricDifference<'a, T, S> as core::iter::Iterator>::fold;1;0;0
<collections::hash::set::Union<'a, T, S> as core::iter::Iterator>::count;1;0;0
<collections::hash::set::Union<'a, T, S> as core::iter::Iterator>::fold;1;0;0
error::Report::<E>::fmt_singleline;0;1;0
error::Report::<E>::fmt_multiline;0;2;0
<error::Indented<'_, T> as core::fmt::Write>::write_str;0;2;0
ffi::os_str::<impl alloc_crate::slice::Join<&ffi::os_str::OsStr> for [S]>::join;1;0;0
<ffi::os_str::OsString as core::iter::Extend<ffi::os_str::OsString>>::extend;0;1;0
<ffi::os_str::OsString as core::iter::Extend<&'a ffi::os_str::OsStr>>::extend;0;1;0
<ffi::os_str::OsString as core::iter::Extend<alloc_crate::borrow::Cow<'a, ffi::os_str::OsStr>>>::extend;0;1;0
<ffi::os_str::OsString as core::iter::FromIterator<&'a ffi::os_str::OsStr>>::from_iter;0;1;0
io::buffered::bufreader::BufReader::<R>::peek;0;2;0
io::buffered::bufwriter::BufWriter::<W>::flush_buf;0;6;0
<io::buffered::bufwriter::BufWriter<W> as io::Write>::write_vectored;2;4;0
<io::buffered::linewritershim::LineWriterShim<'a, W> as io::Write>::write_vectored;2;1;0
<io::buffered::bufreader::BufReader<I> as io::copy::BufferedReaderSpec>::copy_to;0;2;0
<io::buffered::bufwriter::BufWriter<I> as io::copy::BufferedWriterSpec>::copy_from;0;7;0
io::copy::stack_buffer_copy;0;2;0
<io::cursor::Cursor<T> as io::Read>::read_vectored;0;1;0
io::cursor::slice_write_vectored;0;1;0
io::cursor::slice_write_all_vectored;0;1;0
io::cursor::vec_write_all_vectored;1;1;0
io::impls::<impl io::Read for &[u8]>::read_vectored;0;1;0
io::impls::<impl io::Write for &mut [u8]>::write_vectored;0;1;0
io::impls::<impl io::Write for &mut [u8]>::write_all_vectored;0;1;0
io::impls::<impl io::Write for alloc_crate::vec::Vec<u8, A>>::write_vectored;0;1;0
io::impls::<impl io::Write for alloc_crate::collections::VecDeque<u8, A>>::write_vectored;0;1;0
io::impls::<impl io::Write for core::io::BorrowedCursor<'a>>::write_vectored;0;1;0
io::impls::<impl io::Write for core::io::BorrowedCursor<'a>>::write_all_vectored;0;1;0
<io::util::Repeat as io::Read>::read_vectored;0;1;0
io::default_read_to_end;0;241;0
io::default_read_to_end::small_probe_read;0;1;0
io::default_read_vectored;1;0;0
io::default_write_vectored;1;0;0
io::default_read_exact;0;6;0
io::default_read_buf_exact;0;2;0
io::IoSliceMut::<'a>::advance_slices;0;1;0
io::IoSlice::<'a>::advance_slices;0;1;0
io::Write::write_all;0;6;0
io::Write::write_all_vectored;0;6;0
io::read_until;0;3;0
io::skip_until;0;3;0
<io::Chain<T, U> as io::Read>::read_vectored;1;0;0
io::inlined_slow_read_byte;0;1;0
net::socket_addr::resolve_socket_addr;1;0;0
net::each_addr;0;1;0
os::unix::fs::FileExt::read_exact_at;0;6;0
os::unix::fs::FileExt::write_all_at;0;6;0
os::unix::net::ancillary::add_to_ancillary_data;0;1;0
path::iter_after;0;1;0
path::split_file_at_dot;1;0;0
path::Components::<'a>::parse_next_component;1;0;0
path::Components::<'a>::parse_next_component_back;1;0;0
path::Components::<'a>::trim_left;0;1;0
path::Components::<'a>::trim_right;0;1;0
<path::Components<'a> as core::iter::Iterator>::next;0;6;0
<path::Components<'a> as core::iter::DoubleEndedIterator>::next_back;0;5;0
path::compare_components;2;0;0
path::PathBuf::_push;1;18;0
path::PathBuf::_set_extension;0;2;0
