name;is_unsafe;has_unsafe_ops;has_unsupported_input;has_loop_or_iterator
<&mut T as sys::pal::unix::kernel_copy::CopyWrite>::properties;false;false;true;false
<collections::hash::map::HashMap<K, V, S> as core::iter::Extend<(&'a K, &'a V)>>::extend;false;false;true;false
<io::Take<T> as core::fmt::Debug>::fmt;false;false;true;false
<path::Component<'a> as core::fmt::Debug>::fmt;false;false;true;false
<collections::hash::map::IntoValues<K, V> as core::iter::Iterator>::next;false;false;true;false
os::unix::net::ancillary::SocketAncillary::<'a>::clear;false;false;true;false
sys::pal::unix::os::unsetenv;true;false;false;false
sync::lazy_lock::LazyLock::<T, F>::force_mut::really_init_mut;true;true;true;false
<sys::pal::unix::linux::pidfd::PidFd as os::fd::raw::FromRawFd>::from_raw_fd;true;true;false;false
io::copy::copy;false;false;true;false
sys::net::connection::socket::socket_addr_v4_to_c;false;true;false;false
ffi::os_str::OsStr::eq_ignore_ascii_case;false;false;false;false
panicking::rust_panic_without_hook::RewrapBox;false;false;false;false
<os::unix::net::datagram::UnixDatagram as sys_common::AsInner<sys::net::connection::socket::unix::Socket>>::as_inner;false;false;false;false
<collections::hash::set::HashSet<T, S> as core::fmt::Debug>::fmt;false;false;true;false
sync::mpmc::zero::Channel::<T>::new;false;false;false;false
ffi::os_str::OsString::leak;false;false;true;false
<collections::hash::map::Drain<'a, K, V> as core::iter::Iterator>::size_hint;false;false;true;false
io::error::_assert_error_is_sync_send::_is_sync_send;false;false;false;false
<&io::stdio::Stderr as io::Write>::flush;false;false;true;false
sync::mpmc::Sender::<T>::capacity;false;false;true;false
f32::<impl f32>::exp_m1;false;true;true;false
collections::hash::map::assert_covariance::values_val;false;false;true;false
<sync::reentrant_lock::ReentrantLockGuard<'_, T> as core::ops::Deref>::deref;false;false;true;false
path::<impl core::cmp::PartialEq<path::PathBuf> for &'a ffi::os_str::OsStr>::eq;false;false;true;false
os::unix::net::datagram::UnixDatagram::connect_addr;false;true;false;false
collections::hash::map::HashMap::<K, V, S>::get_disjoint_unchecked_mut;true;true;true;false
sys::pal::unix::process::process_common::Command::stdout;false;false;true;false
backtrace::Inner::Captured;false;false;true;false
thread::local::LocalKey::<core::cell::RefCell<T>>::with_borrow;false;false;true;false
<time::Instant as core::cmp::PartialOrd>::partial_cmp;false;false;false;false
sys::fs::unix::File::try_lock_shared;false;true;false;false
<collections::hash::set::Entry<'_, T, S> as core::fmt::Debug>::fmt;false;false;true;false
<io::Bytes<R> as core::fmt::Debug>::fmt;false;false;true;false
net::udp::UdpSocket::set_read_timeout;false;false;false;false
<T as io::copy::BufferedReaderSpec>::buffer_size;false;false;false;false
io::Write::write_all_vectored;false;false;true;true
net::udp::UdpSocket::peek_from;false;false;true;false
sys::pal::unix::pipe::AnonPipe::write_vectored;false;false;true;false
sys::pal::unix::time::Instant::checked_add_duration;false;false;false;false
backtrace_rs::symbolize::adjust_ip;false;false;true;false
<sync::mpmc::list::ListToken as core::default::Default>::default;false;false;false;false
<sync::poison::rwlock::MappedRwLockWriteGuard<'_, T> as core::ops::DerefMut>::deref_mut;false;true;true;false
<io::cursor::Cursor<alloc_crate::vec::Vec<u8, A>> as io::Write>::is_write_vectored;false;false;true;false
<io::stdio::Stdin as io::stdio::IsTerminal>::is_terminal;false;false;true;false
ffi::os_str::<impl core::clone::Clone for alloc_crate::boxed::Box<ffi::os_str::OsStr>>::clone;false;true;false;false
io::error::repr_bitpacked::Repr::new_simple_message;false;true;false;false
collections::hash::map::HashMap::<K, V, S>::entry;false;false;true;false
<sys::stdio::unix::Stdin as io::Read>::read_vectored;false;true;true;false
thread::scoped::ScopeData::overflow;false;false;true;false
io::Read::is_read_vectored;false;false;false;false
f32::<impl f32>::sin_cos;false;false;true;false
<collections::hash::map::HashMap<K, V, S> as core::iter::IntoIterator>::into_iter;false;false;true;false
thread::local::panic_access_error;false;false;false;false
<fs::File as io::stdio::IsTerminal>::is_terminal;false;false;false;false
<collections::hash::set::HashSet<T, S> as core::iter::Extend<T>>::extend_one;false;false;true;false
sys::net::connection::socket::UdpSocket::recv;false;false;true;false
os::unix::net::addr::AddressKind::Pathname;false;false;false;false
thread::JoinHandle::<T>::join;false;false;true;false
<io::cursor::Cursor<alloc_crate::boxed::Box<[u8], A>> as io::Write>::write_vectored;false;true;true;false
<io::buffered::bufwriter::BufWriter<W> as core::fmt::Debug>::fmt;false;false;true;false
<fs::File as os::unix::fs::FileExt>::write_at;false;false;false;false
<(core::net::Ipv6Addr, u16) as net::socket_addr::ToSocketAddrs>::to_socket_addrs;false;false;false;false
sync::mpmc::utils::Backoff::new;false;false;false;false
sync::poison::once::Once::call_once_force;false;false;true;false
<path::PrefixComponent<'_> as core::hash::Hash>::hash;false;false;true;false
<&fs::File as sys::pal::unix::kernel_copy::CopyRead>::properties;false;false;false;false
os::unix::process::<impl core::convert::From<os::fd::owned::OwnedFd> for process::Stdio>::from;false;false;false;false
sys::fs::unix::OpenOptions::truncate;false;false;true;false
sys::os_str::bytes::Buf::clear;false;false;true;false
backtrace::Backtrace::frames;false;false;true;false
sys::thread_local::native::LocalPointer::__new;false;false;false;false
std_float::StdFloat::ceil;false;true;false;false
f32::<impl f32>::powi;false;true;true;false
sys::anonymous_pipe::unix::<impl core::convert::From<io::pipe::PipeWriter> for process::Stdio>::from;false;false;false;false
net::tcp::TcpStream::set_nodelay;false;false;false;false
sys::fs::unix::DirEntry::path;false;false;true;false
sys_common::ignore_notfound;false;false;true;false
<core::simd::Simd<f64, N> as std_float::StdFloat>::exp2;false;true;true;false
<sys::fs::unix::File as core::fmt::Debug>::fmt::get_path;false;false;false;false
<sync::mpmc::error::SendTimeoutError<T> as core::convert::From<sync::mpsc::SendError<T>>>::from;false;false;true;false
<collections::hash::map::OccupiedEntry<'_, K, V> as core::fmt::Debug>::fmt;false;false;true;false
collections::hash::map::VacantEntry::<'a, K, V>::into_key;false;false;true;false
sys::pal::unix::os::split_paths;false;false;false;false
<env::Args as core::iter::Iterator>::next;false;false;true;false
path::PathBuf::new;false;false;false;false
ffi::os_str::OsString::clear;false;false;true;false
<io::buffered::bufreader::BufReader<R> as io::BufRead>::fill_buf;false;false;true;false
<os::fd::owned::BorrowedFd<'_> as os::fd::raw::AsRawFd>::as_raw_fd;false;false;true;false
net::udp::UdpSocket::take_error;false;false;false;false
sys::net::connection::socket::SocketAddrCRepr::as_ptr;false;false;false;false
<env::ArgsOs as core::iter::DoubleEndedIterator>::next_back;false;false;true;false
sys::pal::unix::time::SystemTime::checked_add_duration;false;false;false;false
path::Path::extension;false;false;false;false
sys::fs::unix::ReadDir::new;false;false;true;false
<io::util::Empty as core::fmt::Debug>::fmt;false;false;true;false
<fs::File as io::Read>::read_to_end;false;false;true;false
path::PathBuf::add_extension;false;false;true;false
sys::pal::unix::process::process_common::ExitCode;false;false;false;false
<i8 as sys::pal::unix::IsMinusOne>::is_minus_one;false;false;false;false
<sys::pal::unix::fd::FileDesc as os::fd::raw::IntoRawFd>::into_raw_fd;false;false;false;false
io::cursor::Cursor::<T>::get_ref;false;false;true;false
io::buffered::linewritershim::LineWriterShim::<'a, W>::inner;false;false;true;false
<collections::hash::map::IntoKeys<K, V> as core::default::Default>::default;false;false;false;false
f64::<impl f64>::cbrt;false;true;true;false
<io::buffered::linewritershim::LineWriterShim<'a, W> as io::Write>::flush;false;false;true;false
sys::pal::unix::os::getcwd;false;true;false;true
