fn_name;boxes;closures;coroutines;floats;fn_defs;fn_ptrs;generics;interior_muts;raw_ptrs;recursive_types;mut_refs;simd;unions
rt::init;0;0;0;0;0;0;0;0;2;0;0;0;0
rt::lang_start_internal;0;0;0;0;0;0;0;0;2;1;0;0;0
rt::lang_start;0;0;0;0;0;1;1;0;2;0;0;0;0
f128::<impl f128>::floor;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::ceil;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::round;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::round_ties_even;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::trunc;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::fract;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::mul_add;0;0;0;3;0;0;0;0;0;0;0;0;0
f128::<impl f128>::div_euclid;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::rem_euclid;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::powi;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::powf;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::sqrt;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::exp;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::exp2;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::ln;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::log;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::log2;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::log10;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::cbrt;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::hypot;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::sin;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::cos;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::tan;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::asin;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::acos;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::atan;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::atan2;0;0;0;2;0;0;0;0;0;0;0;0;0
f128::<impl f128>::sin_cos;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::exp_m1;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::ln_1p;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::sinh;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::cosh;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::tanh;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::asinh;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::acosh;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::atanh;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::gamma;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::ln_gamma;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::erf;0;0;0;1;0;0;0;0;0;0;0;0;0
f128::<impl f128>::erfc;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::floor;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::ceil;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::round;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::round_ties_even;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::trunc;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::fract;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::mul_add;0;0;0;3;0;0;0;0;0;0;0;0;0
f16::<impl f16>::div_euclid;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::rem_euclid;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::powi;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::powf;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::sqrt;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::exp;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::exp2;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::ln;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::log;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::log2;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::log10;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::cbrt;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::hypot;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::sin;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::cos;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::tan;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::asin;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::acos;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::atan;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::atan2;0;0;0;2;0;0;0;0;0;0;0;0;0
f16::<impl f16>::sin_cos;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::exp_m1;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::ln_1p;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::sinh;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::cosh;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::tanh;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::asinh;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::acosh;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::atanh;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::gamma;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::ln_gamma;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::erf;0;0;0;1;0;0;0;0;0;0;0;0;0
f16::<impl f16>::erfc;0;0;0;1;0;0;0;0;0;0;0;0;0
