fn_name;inline_assembly;unsafe_dereference;unsafe_call;unsafe_static_access;unsafe_union_access
rt::init;0;0;2;0;0
f128::<impl f128>::floor;0;0;1;0;0
f128::<impl f128>::ceil;0;0;1;0;0
f128::<impl f128>::round;0;0;1;0;0
f128::<impl f128>::trunc;0;0;1;0;0
f128::<impl f128>::mul_add;0;0;1;0;0
f128::<impl f128>::powi;0;0;1;0;0
f128::<impl f128>::powf;0;0;1;0;0
f128::<impl f128>::sqrt;0;0;1;0;0
f128::<impl f128>::exp;0;0;1;0;0
f128::<impl f128>::exp2;0;0;1;0;0
f128::<impl f128>::ln;0;0;1;0;0
f128::<impl f128>::log2;0;0;1;0;0
f128::<impl f128>::log10;0;0;1;0;0
f128::<impl f128>::cbrt;0;0;1;0;0
f128::<impl f128>::hypot;0;0;1;0;0
f128::<impl f128>::sin;0;0;1;0;0
f128::<impl f128>::cos;0;0;1;0;0
f128::<impl f128>::tan;0;0;1;0;0
f128::<impl f128>::asin;0;0;1;0;0
f128::<impl f128>::acos;0;0;1;0;0
f128::<impl f128>::atan;0;0;1;0;0
f128::<impl f128>::atan2;0;0;1;0;0
f128::<impl f128>::exp_m1;0;0;1;0;0
f128::<impl f128>::ln_1p;0;0;1;0;0
f128::<impl f128>::sinh;0;0;1;0;0
f128::<impl f128>::cosh;0;0;1;0;0
f128::<impl f128>::tanh;0;0;1;0;0
f128::<impl f128>::gamma;0;0;1;0;0
f128::<impl f128>::ln_gamma;0;0;1;0;0
f128::<impl f128>::erf;0;0;1;0;0
f128::<impl f128>::erfc;0;0;1;0;0
f16::<impl f16>::floor;0;0;1;0;0
f16::<impl f16>::ceil;0;0;1;0;0
f16::<impl f16>::round;0;0;1;0;0
f16::<impl f16>::trunc;0;0;1;0;0
f16::<impl f16>::mul_add;0;0;1;0;0
f16::<impl f16>::powi;0;0;1;0;0
f16::<impl f16>::powf;0;0;1;0;0
f16::<impl f16>::sqrt;0;0;1;0;0
f16::<impl f16>::exp;0;0;1;0;0
f16::<impl f16>::exp2;0;0;1;0;0
f16::<impl f16>::ln;0;0;1;0;0
f16::<impl f16>::log2;0;0;1;0;0
f16::<impl f16>::log10;0;0;1;0;0
f16::<impl f16>::cbrt;0;0;1;0;0
f16::<impl f16>::hypot;0;0;1;0;0
f16::<impl f16>::sin;0;0;1;0;0
f16::<impl f16>::cos;0;0;1;0;0
f16::<impl f16>::tan;0;0;1;0;0
f16::<impl f16>::asin;0;0;1;0;0
f16::<impl f16>::acos;0;0;1;0;0
f16::<impl f16>::atan;0;0;1;0;0
f16::<impl f16>::atan2;0;0;1;0;0
f16::<impl f16>::exp_m1;0;0;1;0;0
f16::<impl f16>::ln_1p;0;0;1;0;0
f16::<impl f16>::sinh;0;0;1;0;0
f16::<impl f16>::cosh;0;0;1;0;0
f16::<impl f16>::tanh;0;0;1;0;0
f16::<impl f16>::gamma;0;0;1;0;0
f16::<impl f16>::ln_gamma;0;0;1;0;0
f16::<impl f16>::erf;0;0;1;0;0
f16::<impl f16>::erfc;0;0;1;0;0
f32::<impl f32>::floor;0;0;1;0;0
f32::<impl f32>::ceil;0;0;1;0;0
f32::<impl f32>::round;0;0;1;0;0
f32::<impl f32>::trunc;0;0;1;0;0
f32::<impl f32>::mul_add;0;0;1;0;0
f32::<impl f32>::powi;0;0;1;0;0
f32::<impl f32>::powf;0;0;1;0;0
f32::<impl f32>::sqrt;0;0;1;0;0
f32::<impl f32>::exp;0;0;1;0;0
f32::<impl f32>::exp2;0;0;1;0;0
f32::<impl f32>::ln;0;0;1;0;0
f32::<impl f32>::log2;0;0;1;0;0
f32::<impl f32>::log10;0;0;1;0;0
f32::<impl f32>::abs_sub;0;0;1;0;0
f32::<impl f32>::cbrt;0;0;1;0;0
f32::<impl f32>::hypot;0;0;1;0;0
f32::<impl f32>::sin;0;0;1;0;0
f32::<impl f32>::cos;0;0;1;0;0
f32::<impl f32>::tan;0;0;1;0;0
f32::<impl f32>::asin;0;0;1;0;0
f32::<impl f32>::acos;0;0;1;0;0
f32::<impl f32>::atan;0;0;1;0;0
f32::<impl f32>::atan2;0;0;1;0;0
f32::<impl f32>::exp_m1;0;0;1;0;0
f32::<impl f32>::ln_1p;0;0;1;0;0
f32::<impl f32>::sinh;0;0;1;0;0
f32::<impl f32>::cosh;0;0;1;0;0
f32::<impl f32>::tanh;0;0;1;0;0
f32::<impl f32>::gamma;0;0;1;0;0
f32::<impl f32>::ln_gamma;0;0;1;0;0
f32::<impl f32>::erf;0;0;1;0;0
f32::<impl f32>::erfc;0;0;1;0;0
f64::<impl f64>::floor;0;0;1;0;0
f64::<impl f64>::ceil;0;0;1;0;0
f64::<impl f64>::round;0;0;1;0;0
f64::<impl f64>::trunc;0;0;1;0;0
f64::<impl f64>::mul_add;0;0;1;0;0
f64::<impl f64>::powi;0;0;1;0;0
f64::<impl f64>::powf;0;0;1;0;0
f64::<impl f64>::sqrt;0;0;1;0;0
f64::<impl f64>::exp;0;0;1;0;0
f64::<impl f64>::exp2;0;0;1;0;0
f64::<impl f64>::ln;0;0;1;0;0
f64::<impl f64>::log2;0;0;1;0;0
f64::<impl f64>::log10;0;0;1;0;0
f64::<impl f64>::abs_sub;0;0;1;0;0
f64::<impl f64>::cbrt;0;0;1;0;0
f64::<impl f64>::hypot;0;0;1;0;0
